iso3,name,accession_date,negotiations_opened,window_start,euro_adopted,schengen_joined,oecd_member,notes
AUT,Austria,1 January 1995,1 February 1993,1991,1999,1997,yes,Schengen implemented 1 December 1997
BEL,Belgium,1 January 1958,,1960,1999,1995,yes,founding member; original Schengen signatory
BGR,Bulgaria,1 January 2007,15 February 2000,1998,2026,2024,no,Helsinki group; euro from 1 January 2026; Schengen air and sea 31 March 2024 and land borders 1 January 2025
HRV,Croatia,1 July 2013,3 October 2005,2003,2023,2023,no,euro and Schengen entry both on 1 January 2023
CYP,Cyprus,1 May 2004,31 March 1998,1996,2008,,no,Luxembourg group; Schengen accession still pending because of the Cyprus dispute
CZE,Czechia,1 May 2004,31 March 1998,1996,,2007,yes,Luxembourg group; retains the koruna
DNK,Denmark,1 January 1973,30 June 1970,1968,,2001,yes,euro opt-out; Schengen applied from 25 March 2001
EST,Estonia,1 May 2004,31 March 1998,1996,2011,2007,yes,Luxembourg group; OECD member since 2010
FIN,Finland,1 January 1995,1 February 1993,1991,1999,2001,yes,Schengen applied from 25 March 2001
FRA,France,1 January 1958,,1960,1999,1995,yes,founding member; original Schengen signatory
DEU,Germany,1 January 1958,,1960,1999,1995,yes,founding member as West Germany; original Schengen signatory
GRC,Greece,1 January 1981,27 July 1976,1974,2001,2000,yes,Schengen applied from 26 March 2000
HUN,Hungary,1 May 2004,31 March 1998,1996,,2007,yes,Luxembourg group; retains the forint
IRL,Ireland,1 January 1973,30 June 1970,1968,1999,,yes,Schengen opt-out to preserve the Common Travel Area with the UK
ITA,Italy,1 January 1958,,1960,1999,1997,yes,founding member; Schengen implemented 26 October 1997
LVA,Latvia,1 May 2004,15 February 2000,1998,2014,2007,yes,Helsinki group; OECD member since 2016
LTU,Lithuania,1 May 2004,15 February 2000,1998,2015,2007,yes,Helsinki group; OECD member since 2018
LUX,Luxembourg,1 January 1958,,1960,1999,1995,yes,founding member; original Schengen signatory
MLT,Malta,1 May 2004,15 February 2000,1998,2008,2007,no,Helsinki group; application frozen 1996-1998 then reactivated
NLD,Netherlands,1 January 1958,,1960,1999,1995,yes,founding member; original Schengen signatory
POL,Poland,1 May 2004,31 March 1998,1996,,2007,yes,Luxembourg group; retains the zloty
PRT,Portugal,1 January 1986,19 May 1978,1976,1999,1995,yes,Schengen applied from 26 March 1995
ROU,Romania,1 January 2007,15 February 2000,1998,,2024,no,Helsinki group; Schengen air and sea 31 March 2024 and land borders 1 January 2025
SVK,Slovakia,1 May 2004,15 February 2000,1998,2009,2007,yes,Helsinki group
SVN,Slovenia,1 May 2004,31 March 1998,1996,2007,2007,yes,Luxembourg group; first 2004 entrant to adopt the euro
ESP,Spain,1 January 1986,5 February 1979,1977,1999,1995,yes,Schengen applied from 26 March 1995
SWE,Sweden,1 January 1995,1 February 1993,1991,,2001,yes,no euro; Schengen applied from 25 March 2001
GBR,United Kingdom,1 January 1973,30 June 1970,1968,,,yes,Leave referendum 23 June 2016; Article 50 notified 29 March 2017; withdrawal 31 January 2020; transition ended 31 December 2020
