iso3,country,indicator_code,indicator_name,unit,year,value,source,retrieved
EMU,Euro area,ECB.MRO,ECB main refinancing operations rate,%,1999-01-01,3.00,European Central Bank,2026-08-02
EMU,Euro area,ECB.MRO,ECB main refinancing operations rate,%,1999-01-22,3.00,European Central Bank,2026-08-02
EMU,Euro area,ECB.MRO,ECB main refinancing operations rate,%,1999-04-09,2.50,European Central Bank,2026-08-02
EMU,Euro area,ECB.MRO,ECB main refinancing operations rate,%,1999-11-05,3.00,European Central Bank,2026-08-02
EMU,Euro area,ECB.MRO,ECB main refinancing operations rate,%,2000-02-04,3.25,European Central Bank,2026-08-02
EMU,Euro area,ECB.MRO,ECB main refinancing operations rate,%,2000-03-17,3.50,European Central Bank,2026-08-02
EMU,Euro area,ECB.MRO,ECB main refinancing operations rate,%,2000-04-28,3.75,European Central Bank,2026-08-02
EMU,Euro area,ECB.MRO,ECB main refinancing operations rate,%,2000-06-09,4.25,European Central Bank,2026-08-02
EMU,Euro area,ECB.MRO,ECB main refinancing operations rate,%,2000-06-28,4.25,European Central Bank,2026-08-02
EMU,Euro area,ECB.MRO,ECB main refinancing operations rate,%,2000-09-01,4.50,European Central Bank,2026-08-02
EMU,Euro area,ECB.MRO,ECB main refinancing operations rate,%,2000-10-06,4.75,European Central Bank,2026-08-02
EMU,Euro area,ECB.MRO,ECB main refinancing operations rate,%,2001-05-11,4.50,European Central Bank,2026-08-02
EMU,Euro area,ECB.MRO,ECB main refinancing operations rate,%,2001-08-31,4.25,European Central Bank,2026-08-02
EMU,Euro area,ECB.MRO,ECB main refinancing operations rate,%,2001-09-18,3.75,European Central Bank,2026-08-02
EMU,Euro area,ECB.MRO,ECB main refinancing operations rate,%,2001-11-09,3.25,European Central Bank,2026-08-02
EMU,Euro area,ECB.MRO,ECB main refinancing operations rate,%,2002-12-06,2.75,European Central Bank,2026-08-02
EMU,Euro area,ECB.MRO,ECB main refinancing operations rate,%,2003-03-07,2.50,European Central Bank,2026-08-02
EMU,Euro area,ECB.MRO,ECB main refinancing operations rate,%,2003-06-06,2.00,European Central Bank,2026-08-02
EMU,Euro area,ECB.MRO,ECB main refinancing operations rate,%,2005-12-06,2.25,European Central Bank,2026-08-02
EMU,Euro area,ECB.MRO,ECB main refinancing operations rate,%,2006-03-08,2.50,European Central Bank,2026-08-02
EMU,Euro area,ECB.MRO,ECB main refinancing operations rate,%,2006-06-15,2.75,European Central Bank,2026-08-02
EMU,Euro area,ECB.MRO,ECB main refinancing operations rate,%,2006-08-09,3.00,European Central Bank,2026-08-02
EMU,Euro area,ECB.MRO,ECB main refinancing operations rate,%,2006-10-11,3.25,European Central Bank,2026-08-02
EMU,Euro area,ECB.MRO,ECB main refinancing operations rate,%,2006-12-13,3.50,European Central Bank,2026-08-02
EMU,Euro area,ECB.MRO,ECB main refinancing operations rate,%,2007-03-14,3.75,European Central Bank,2026-08-02
EMU,Euro area,ECB.MRO,ECB main refinancing operations rate,%,2007-06-13,4.00,European Central Bank,2026-08-02
EMU,Euro area,ECB.MRO,ECB main refinancing operations rate,%,2008-07-09,4.25,European Central Bank,2026-08-02
EMU,Euro area,ECB.MRO,ECB main refinancing operations rate,%,2008-10-15,3.75,European Central Bank,2026-08-02
EMU,Euro area,ECB.MRO,ECB main refinancing operations rate,%,2008-11-12,3.25,European Central Bank,2026-08-02
EMU,Euro area,ECB.MRO,ECB main refinancing operations rate,%,2008-12-10,2.50,European Central Bank,2026-08-02
EMU,Euro area,ECB.MRO,ECB main refinancing operations rate,%,2009-01-21,2.00,European Central Bank,2026-08-02
EMU,Euro area,ECB.MRO,ECB main refinancing operations rate,%,2009-03-11,1.50,European Central Bank,2026-08-02
EMU,Euro area,ECB.MRO,ECB main refinancing operations rate,%,2009-04-08,1.25,European Central Bank,2026-08-02
EMU,Euro area,ECB.MRO,ECB main refinancing operations rate,%,2009-05-13,1.00,European Central Bank,2026-08-02
EMU,Euro area,ECB.MRO,ECB main refinancing operations rate,%,2011-04-13,1.25,European Central Bank,2026-08-02
EMU,Euro area,ECB.MRO,ECB main refinancing operations rate,%,2011-07-13,1.50,European Central Bank,2026-08-02
EMU,Euro area,ECB.MRO,ECB main refinancing operations rate,%,2011-11-09,1.25,European Central Bank,2026-08-02
EMU,Euro area,ECB.MRO,ECB main refinancing operations rate,%,2011-12-14,1.00,European Central Bank,2026-08-02
EMU,Euro area,ECB.MRO,ECB main refinancing operations rate,%,2012-07-11,0.75,European Central Bank,2026-08-02
EMU,Euro area,ECB.MRO,ECB main refinancing operations rate,%,2013-05-08,0.50,European Central Bank,2026-08-02
EMU,Euro area,ECB.MRO,ECB main refinancing operations rate,%,2013-11-13,0.25,European Central Bank,2026-08-02
EMU,Euro area,ECB.MRO,ECB main refinancing operations rate,%,2014-06-11,0.15,European Central Bank,2026-08-02
EMU,Euro area,ECB.MRO,ECB main refinancing operations rate,%,2014-09-10,0.05,European Central Bank,2026-08-02
EMU,Euro area,ECB.MRO,ECB main refinancing operations rate,%,2015-12-09,0.05,European Central Bank,2026-08-02
EMU,Euro area,ECB.MRO,ECB main refinancing operations rate,%,2016-03-16,0.00,European Central Bank,2026-08-02
EMU,Euro area,ECB.MRO,ECB main refinancing operations rate,%,2019-09-18,0.00,European Central Bank,2026-08-02
EMU,Euro area,ECB.MRO,ECB main refinancing operations rate,%,2022-07-27,0.50,European Central Bank,2026-08-02
EMU,Euro area,ECB.MRO,ECB main refinancing operations rate,%,2022-09-14,1.25,European Central Bank,2026-08-02
EMU,Euro area,ECB.MRO,ECB main refinancing operations rate,%,2022-11-02,2.00,European Central Bank,2026-08-02
EMU,Euro area,ECB.MRO,ECB main refinancing operations rate,%,2022-12-21,2.50,European Central Bank,2026-08-02
EMU,Euro area,ECB.MRO,ECB main refinancing operations rate,%,2023-02-08,3.00,European Central Bank,2026-08-02
EMU,Euro area,ECB.MRO,ECB main refinancing operations rate,%,2023-03-22,3.50,European Central Bank,2026-08-02
EMU,Euro area,ECB.MRO,ECB main refinancing operations rate,%,2023-05-10,3.75,European Central Bank,2026-08-02
EMU,Euro area,ECB.MRO,ECB main refinancing operations rate,%,2023-06-21,4.00,European Central Bank,2026-08-02
EMU,Euro area,ECB.MRO,ECB main refinancing operations rate,%,2023-08-02,4.25,European Central Bank,2026-08-02
EMU,Euro area,ECB.MRO,ECB main refinancing operations rate,%,2023-09-20,4.50,European Central Bank,2026-08-02
EMU,Euro area,ECB.MRO,ECB main refinancing operations rate,%,2024-06-12,4.25,European Central Bank,2026-08-02
EMU,Euro area,ECB.MRO,ECB main refinancing operations rate,%,2024-09-18,3.65,European Central Bank,2026-08-02
EMU,Euro area,ECB.MRO,ECB main refinancing operations rate,%,2024-10-23,3.40,European Central Bank,2026-08-02
EMU,Euro area,ECB.MRO,ECB main refinancing operations rate,%,2024-12-18,3.15,European Central Bank,2026-08-02
EMU,Euro area,ECB.MRO,ECB main refinancing operations rate,%,2025-02-05,2.90,European Central Bank,2026-08-02
EMU,Euro area,ECB.MRO,ECB main refinancing operations rate,%,2025-03-12,2.65,European Central Bank,2026-08-02
EMU,Euro area,ECB.MRO,ECB main refinancing operations rate,%,2025-04-23,2.40,European Central Bank,2026-08-02
EMU,Euro area,ECB.MRO,ECB main refinancing operations rate,%,2025-06-11,2.15,European Central Bank,2026-08-02
EMU,Euro area,ECB.MRO,ECB main refinancing operations rate,%,2026-06-17,2.40,European Central Bank,2026-08-02
