iso3,direction,label,amount,currency,basis,period,detail,source
NOR,out,EEA and Norway Grants,391,EUR m,annual average,2014-2021,"Paid to 15 poorer EU member states. Norway funds roughly 97% of the two mechanisms combined; Poland was the largest recipient of the 2014-2021 period at EUR 809.3m",Norwegian Ministry of Foreign Affairs (norway.no); regjeringen.no
NOR,out,EU programme participation,447,EUR m,annual average,2014-2020,"Horizon 2020, Erasmus+, Galileo, Copernicus and others. The fee is set by a GDP-based proportionality factor, 2.33% in 2022",Norwegian Ministry of Foreign Affairs (norway.no)
NOR,out,European territorial cooperation (INTERREG),25,EUR m,annual average,2014-2020,Cross-border and regional cooperation programmes,Norwegian Ministry of Foreign Affairs (norway.no)
NOR,out,Justice and home affairs / Schengen,6,EUR m,annual,2015,Single-year figure; the ministry does not publish an annual series for this line,Norwegian Ministry of Foreign Affairs (norway.no)
NOR,in,Horizon Europe funding won,1010,EUR m,period total,2021-2023,"Competitive research funding won by Norwegian institutions. Norway has taken 3.23% of total Horizon Europe funding against a government target of 2.8%",European Commission (Country Participation in the EU R&I Framework Programmes); Research Council of Norway
NOR,in,Horizon 2020 funding won,1710,EUR m,period total,2014-2020,Competitive research funding won by Norwegian institutions across the whole programme,European Commission (Country Participation in the EU R&I Framework Programmes)
ISL,out,Share of the EEA Grants,3,%,share of mechanism,2014-2021,"Iceland's share of the EEA Financial Mechanism. Sources disagree between 3% and 4.2% depending on period and basis; no Icelandic government figure in euros was found",Norwegian MFA / European Parliament; EEA Grants Status Report 2022
ISL,in,Horizon Europe funding won,50,EUR m,period total,2021-2023,Competitive research funding won by Icelandic institutions,European Commission (Country Participation in the EU R&I Framework Programmes)
ISL,in,Horizon 2020 funding won,140,EUR m,period total,2014-2020,Competitive research funding won by Icelandic institutions across the whole programme,European Commission (Country Participation in the EU R&I Framework Programmes)
CHE,out,First cohesion contribution,1302,CHF m,period total,2007-2024,"CHF 1.0bn to the ten 2004 entrants, CHF 257m added for Bulgaria and Romania, CHF 45m for Croatia. Projects ran to the end of 2024",Swiss Federal Department of Foreign Affairs (europa.eda.admin.ch)
CHE,out,Second Swiss contribution,1302,CHF m,period total,2019-2029,"CHF 1.1bn cohesion to the 13 states that joined since 2004, plus CHF 200m for migration, which also reaches Greece and Italy",Swiss Federal Department of Foreign Affairs (europa.eda.admin.ch)
CHE,out,Interim annual payment,130,CHF m,annual,2025-,Bridging payment from the end of 2024 until the new regular mechanism takes effect,Swiss Federal Council factsheet (13 June 2025)
CHE,out,Regular mechanism (planned),350,CHF m,annual,2030-2036,"Agreed as part of the new package of agreements signed on 2 March 2026; not yet ratified",Swiss Federal Council factsheet (13 June 2025)
CHE,in,National research funding during exclusion,2600,CHF m,period total,2021-2024,"Not an EU flow. Swiss federal money spent replacing Horizon Europe access after Switzerland was made a non-associated third country",Swiss State Secretariat for Education Research and Innovation (SBFI)
CHE,in,European Research Council grants won,160,EUR m,annual,2025,First year back inside Horizon Europe after re-association,SWI swissinfo.ch citing SBFI
