iso3,country,indicator_code,indicator_name,unit,year,value,source,retrieved
BIH,Bosnia and Herzegovina,NE.EXP.GNFS.ZS,Exports of goods and services (% of GDP),%,1994,15.4482894219426,World Bank Open Data,2026-07-27
BIH,Bosnia and Herzegovina,NE.EXP.GNFS.ZS,Exports of goods and services (% of GDP),%,1995,20.4117390235021,World Bank Open Data,2026-07-27
BIH,Bosnia and Herzegovina,NE.EXP.GNFS.ZS,Exports of goods and services (% of GDP),%,1996,23.617706247983,World Bank Open Data,2026-07-27
BIH,Bosnia and Herzegovina,NE.EXP.GNFS.ZS,Exports of goods and services (% of GDP),%,1997,27.8336349003353,World Bank Open Data,2026-07-27
BIH,Bosnia and Herzegovina,NE.EXP.GNFS.ZS,Exports of goods and services (% of GDP),%,1998,27.3031972254601,World Bank Open Data,2026-07-27
BIH,Bosnia and Herzegovina,NE.EXP.GNFS.ZS,Exports of goods and services (% of GDP),%,1999,27.6439467786027,World Bank Open Data,2026-07-27
BIH,Bosnia and Herzegovina,NE.EXP.GNFS.ZS,Exports of goods and services (% of GDP),%,2000,21.883818745472,World Bank Open Data,2026-07-27
BIH,Bosnia and Herzegovina,NE.EXP.GNFS.ZS,Exports of goods and services (% of GDP),%,2001,22.0687199961698,World Bank Open Data,2026-07-27
BIH,Bosnia and Herzegovina,NE.EXP.GNFS.ZS,Exports of goods and services (% of GDP),%,2002,19.1260118891002,World Bank Open Data,2026-07-27
BIH,Bosnia and Herzegovina,NE.EXP.GNFS.ZS,Exports of goods and services (% of GDP),%,2003,20.5879852303156,World Bank Open Data,2026-07-27
BIH,Bosnia and Herzegovina,NE.EXP.GNFS.ZS,Exports of goods and services (% of GDP),%,2004,22.5362431036544,World Bank Open Data,2026-07-27
BIH,Bosnia and Herzegovina,NE.EXP.GNFS.ZS,Exports of goods and services (% of GDP),%,2005,24.3164228910803,World Bank Open Data,2026-07-27
BIH,Bosnia and Herzegovina,NE.EXP.GNFS.ZS,Exports of goods and services (% of GDP),%,2006,26.2583452015481,World Bank Open Data,2026-07-27
