iso3,country,indicator_code,indicator_name,unit,year,value,source,retrieved
CZE,Czechia,BX.KLT.DINV.WD.GD.ZS,"Foreign direct investment, net inflows (% of GDP)",%,1993,1.58976558645161,World Bank Open Data,2026-07-27
CZE,Czechia,BX.KLT.DINV.WD.GD.ZS,"Foreign direct investment, net inflows (% of GDP)",%,1994,1.82249319752219,World Bank Open Data,2026-07-27
CZE,Czechia,BX.KLT.DINV.WD.GD.ZS,"Foreign direct investment, net inflows (% of GDP)",%,1995,4.23883721598216,World Bank Open Data,2026-07-27
CZE,Czechia,BX.KLT.DINV.WD.GD.ZS,"Foreign direct investment, net inflows (% of GDP)",%,1996,2.11680269383607,World Bank Open Data,2026-07-27
CZE,Czechia,BX.KLT.DINV.WD.GD.ZS,"Foreign direct investment, net inflows (% of GDP)",%,1997,2.05707979520759,World Bank Open Data,2026-07-27
CZE,Czechia,BX.KLT.DINV.WD.GD.ZS,"Foreign direct investment, net inflows (% of GDP)",%,1998,5.50725202620316,World Bank Open Data,2026-07-27
CZE,Czechia,BX.KLT.DINV.WD.GD.ZS,"Foreign direct investment, net inflows (% of GDP)",%,1999,9.62483232120859,World Bank Open Data,2026-07-27
CZE,Czechia,BX.KLT.DINV.WD.GD.ZS,"Foreign direct investment, net inflows (% of GDP)",%,2000,8.02095314137193,World Bank Open Data,2026-07-27
CZE,Czechia,BX.KLT.DINV.WD.GD.ZS,"Foreign direct investment, net inflows (% of GDP)",%,2001,8.27868500809023,World Bank Open Data,2026-07-27
CZE,Czechia,BX.KLT.DINV.WD.GD.ZS,"Foreign direct investment, net inflows (% of GDP)",%,2002,10.2854716819753,World Bank Open Data,2026-07-27
CZE,Czechia,BX.KLT.DINV.WD.GD.ZS,"Foreign direct investment, net inflows (% of GDP)",%,2003,2.01250274928445,World Bank Open Data,2026-07-27
CZE,Czechia,BX.KLT.DINV.WD.GD.ZS,"Foreign direct investment, net inflows (% of GDP)",%,2004,5.34629831368761,World Bank Open Data,2026-07-27
CZE,Czechia,BX.KLT.DINV.WD.GD.ZS,"Foreign direct investment, net inflows (% of GDP)",%,2005,10.0027291342114,World Bank Open Data,2026-07-27
CZE,Czechia,BX.KLT.DINV.WD.GD.ZS,"Foreign direct investment, net inflows (% of GDP)",%,2006,4.56488300562003,World Bank Open Data,2026-07-27
CZE,Czechia,BX.KLT.DINV.WD.GD.ZS,"Foreign direct investment, net inflows (% of GDP)",%,2007,7.26984053281639,World Bank Open Data,2026-07-27
CZE,Czechia,BX.KLT.DINV.WD.GD.ZS,"Foreign direct investment, net inflows (% of GDP)",%,2008,3.72734017480649,World Bank Open Data,2026-07-27
CZE,Czechia,BX.KLT.DINV.WD.GD.ZS,"Foreign direct investment, net inflows (% of GDP)",%,2009,2.54701925348654,World Bank Open Data,2026-07-27
CZE,Czechia,BX.KLT.DINV.WD.GD.ZS,"Foreign direct investment, net inflows (% of GDP)",%,2010,4.81502985527419,World Bank Open Data,2026-07-27
