iso3,country,indicator_code,indicator_name,unit,year,value,source,retrieved
EUU,European Union (aggregate),NY.GDP.PCAP.PP.CD,"GDP per capita, PPP (current international $)",$,1996,18358.26,World Bank Open Data,2026-07-27
EUU,European Union (aggregate),NY.GDP.PCAP.PP.CD,"GDP per capita, PPP (current international $)",$,1997,19075.9,World Bank Open Data,2026-07-27
EUU,European Union (aggregate),NY.GDP.PCAP.PP.CD,"GDP per capita, PPP (current international $)",$,1998,19970.41,World Bank Open Data,2026-07-27
EUU,European Union (aggregate),NY.GDP.PCAP.PP.CD,"GDP per capita, PPP (current international $)",$,1999,20769.05,World Bank Open Data,2026-07-27
EUU,European Union (aggregate),NY.GDP.PCAP.PP.CD,"GDP per capita, PPP (current international $)",$,2000,22111.55,World Bank Open Data,2026-07-27
EUU,European Union (aggregate),NY.GDP.PCAP.PP.CD,"GDP per capita, PPP (current international $)",$,2001,23208.69,World Bank Open Data,2026-07-27
EUU,European Union (aggregate),NY.GDP.PCAP.PP.CD,"GDP per capita, PPP (current international $)",$,2002,24225.43,World Bank Open Data,2026-07-27
EUU,European Union (aggregate),NY.GDP.PCAP.PP.CD,"GDP per capita, PPP (current international $)",$,2003,24749.1,World Bank Open Data,2026-07-27
EUU,European Union (aggregate),NY.GDP.PCAP.PP.CD,"GDP per capita, PPP (current international $)",$,2004,25910.57,World Bank Open Data,2026-07-27
EUU,European Union (aggregate),NY.GDP.PCAP.PP.CD,"GDP per capita, PPP (current international $)",$,2005,26886.78,World Bank Open Data,2026-07-27
EUU,European Union (aggregate),NY.GDP.PCAP.PP.CD,"GDP per capita, PPP (current international $)",$,2006,29209.47,World Bank Open Data,2026-07-27
EUU,European Union (aggregate),NY.GDP.PCAP.PP.CD,"GDP per capita, PPP (current international $)",$,2007,31125.35,World Bank Open Data,2026-07-27
EUU,European Union (aggregate),NY.GDP.PCAP.PP.CD,"GDP per capita, PPP (current international $)",$,2008,32579.99,World Bank Open Data,2026-07-27
EUU,European Union (aggregate),NY.GDP.PCAP.PP.CD,"GDP per capita, PPP (current international $)",$,2009,31950.76,World Bank Open Data,2026-07-27
EUU,European Union (aggregate),NY.GDP.PCAP.PP.CD,"GDP per capita, PPP (current international $)",$,2010,32995.33,World Bank Open Data,2026-07-27
EUU,European Union (aggregate),NY.GDP.PCAP.PP.CD,"GDP per capita, PPP (current international $)",$,2011,34666.61,World Bank Open Data,2026-07-27
EUU,European Union (aggregate),NY.GDP.PCAP.PP.CD,"GDP per capita, PPP (current international $)",$,2012,35110.66,World Bank Open Data,2026-07-27
EUU,European Union (aggregate),NY.GDP.PCAP.PP.CD,"GDP per capita, PPP (current international $)",$,2013,36288.95,World Bank Open Data,2026-07-27
EUU,European Union (aggregate),NY.GDP.PCAP.PP.CD,"GDP per capita, PPP (current international $)",$,2014,37363.36,World Bank Open Data,2026-07-27
EUU,European Union (aggregate),NY.GDP.PCAP.PP.CD,"GDP per capita, PPP (current international $)",$,2015,38551.99,World Bank Open Data,2026-07-27
EUU,European Union (aggregate),NY.GDP.PCAP.PP.CD,"GDP per capita, PPP (current international $)",$,2016,40893.58,World Bank Open Data,2026-07-27
EUU,European Union (aggregate),NY.GDP.PCAP.PP.CD,"GDP per capita, PPP (current international $)",$,2017,43031.12,World Bank Open Data,2026-07-27
EUU,European Union (aggregate),NY.GDP.PCAP.PP.CD,"GDP per capita, PPP (current international $)",$,2018,45055.2,World Bank Open Data,2026-07-27
EUU,European Union (aggregate),NY.GDP.PCAP.PP.CD,"GDP per capita, PPP (current international $)",$,2019,48588.12,World Bank Open Data,2026-07-27
EUU,European Union (aggregate),NY.GDP.PCAP.PP.CD,"GDP per capita, PPP (current international $)",$,2020,47566.44,World Bank Open Data,2026-07-27
EUU,European Union (aggregate),NY.GDP.PCAP.PP.CD,"GDP per capita, PPP (current international $)",$,2021,51968.44,World Bank Open Data,2026-07-27
EUU,European Union (aggregate),NY.GDP.PCAP.PP.CD,"GDP per capita, PPP (current international $)",$,2022,58573.21,World Bank Open Data,2026-07-27
EUU,European Union (aggregate),NY.GDP.PCAP.PP.CD,"GDP per capita, PPP (current international $)",$,2023,61545.82,World Bank Open Data,2026-07-27
EUU,European Union (aggregate),NY.GDP.PCAP.PP.CD,"GDP per capita, PPP (current international $)",$,2024,63808.07,World Bank Open Data,2026-07-27
EUU,European Union (aggregate),NY.GDP.PCAP.PP.CD,"GDP per capita, PPP (current international $)",$,2025,65503.07,World Bank Open Data,2026-07-27
