iso3,country,indicator_code,indicator_name,unit,year,value,source,retrieved
GBR,United Kingdom,BX.KLT.DINV.WD.GD.ZS,"Foreign direct investment, net inflows (% of GDP)",%,1970,1.13872859052871,World Bank Open Data,2026-07-27
GBR,United Kingdom,BX.KLT.DINV.WD.GD.ZS,"Foreign direct investment, net inflows (% of GDP)",%,1971,1.19585291667596,World Bank Open Data,2026-07-27
GBR,United Kingdom,BX.KLT.DINV.WD.GD.ZS,"Foreign direct investment, net inflows (% of GDP)",%,1972,0.710712760088409,World Bank Open Data,2026-07-27
GBR,United Kingdom,BX.KLT.DINV.WD.GD.ZS,"Foreign direct investment, net inflows (% of GDP)",%,1973,1.41412745627602,World Bank Open Data,2026-07-27
GBR,United Kingdom,BX.KLT.DINV.WD.GD.ZS,"Foreign direct investment, net inflows (% of GDP)",%,1974,2.12182327411176,World Bank Open Data,2026-07-27
GBR,United Kingdom,BX.KLT.DINV.WD.GD.ZS,"Foreign direct investment, net inflows (% of GDP)",%,1975,1.37267618730267,World Bank Open Data,2026-07-27
GBR,United Kingdom,BX.KLT.DINV.WD.GD.ZS,"Foreign direct investment, net inflows (% of GDP)",%,1976,1.29235580557936,World Bank Open Data,2026-07-27
GBR,United Kingdom,BX.KLT.DINV.WD.GD.ZS,"Foreign direct investment, net inflows (% of GDP)",%,1977,1.68267205120844,World Bank Open Data,2026-07-27
GBR,United Kingdom,BX.KLT.DINV.WD.GD.ZS,"Foreign direct investment, net inflows (% of GDP)",%,1978,1.12758624698224,World Bank Open Data,2026-07-27
GBR,United Kingdom,BX.KLT.DINV.WD.GD.ZS,"Foreign direct investment, net inflows (% of GDP)",%,1979,1.47370581928106,World Bank Open Data,2026-07-27
GBR,United Kingdom,BX.KLT.DINV.WD.GD.ZS,"Foreign direct investment, net inflows (% of GDP)",%,1980,1.79181968888777,World Bank Open Data,2026-07-27
GBR,United Kingdom,BX.KLT.DINV.WD.GD.ZS,"Foreign direct investment, net inflows (% of GDP)",%,1981,1.08723167304469,World Bank Open Data,2026-07-27
GBR,United Kingdom,BX.KLT.DINV.WD.GD.ZS,"Foreign direct investment, net inflows (% of GDP)",%,1982,1.05101856977298,World Bank Open Data,2026-07-27
GBR,United Kingdom,BX.KLT.DINV.WD.GD.ZS,"Foreign direct investment, net inflows (% of GDP)",%,1983,1.05771880105628,World Bank Open Data,2026-07-27
GBR,United Kingdom,BX.KLT.DINV.WD.GD.ZS,"Foreign direct investment, net inflows (% of GDP)",%,1984,-0.0752615937834715,World Bank Open Data,2026-07-27
GBR,United Kingdom,BX.KLT.DINV.WD.GD.ZS,"Foreign direct investment, net inflows (% of GDP)",%,1985,1.11928039047476,World Bank Open Data,2026-07-27
GBR,United Kingdom,BX.KLT.DINV.WD.GD.ZS,"Foreign direct investment, net inflows (% of GDP)",%,1986,1.42482066983063,World Bank Open Data,2026-07-27
GBR,United Kingdom,BX.KLT.DINV.WD.GD.ZS,"Foreign direct investment, net inflows (% of GDP)",%,1987,1.75464033712155,World Bank Open Data,2026-07-27
GBR,United Kingdom,BX.KLT.DINV.WD.GD.ZS,"Foreign direct investment, net inflows (% of GDP)",%,1988,2.90410516796534,World Bank Open Data,2026-07-27
GBR,United Kingdom,BX.KLT.DINV.WD.GD.ZS,"Foreign direct investment, net inflows (% of GDP)",%,1989,2.92466121996993,World Bank Open Data,2026-07-27
GBR,United Kingdom,BX.KLT.DINV.WD.GD.ZS,"Foreign direct investment, net inflows (% of GDP)",%,1990,3.78380567982468,World Bank Open Data,2026-07-27
GBR,United Kingdom,BX.KLT.DINV.WD.GD.ZS,"Foreign direct investment, net inflows (% of GDP)",%,1991,2.03397301702108,World Bank Open Data,2026-07-27
GBR,United Kingdom,BX.KLT.DINV.WD.GD.ZS,"Foreign direct investment, net inflows (% of GDP)",%,1992,1.95066544669245,World Bank Open Data,2026-07-27
GBR,United Kingdom,BX.KLT.DINV.WD.GD.ZS,"Foreign direct investment, net inflows (% of GDP)",%,1993,1.85476418901581,World Bank Open Data,2026-07-27
GBR,United Kingdom,BX.KLT.DINV.WD.GD.ZS,"Foreign direct investment, net inflows (% of GDP)",%,1994,1.71516994974045,World Bank Open Data,2026-07-27
GBR,United Kingdom,BX.KLT.DINV.WD.GD.ZS,"Foreign direct investment, net inflows (% of GDP)",%,1995,2.15917152818541,World Bank Open Data,2026-07-27
GBR,United Kingdom,BX.KLT.DINV.WD.GD.ZS,"Foreign direct investment, net inflows (% of GDP)",%,1996,2.27411515466645,World Bank Open Data,2026-07-27
GBR,United Kingdom,BX.KLT.DINV.WD.GD.ZS,"Foreign direct investment, net inflows (% of GDP)",%,1997,3.26969165190333,World Bank Open Data,2026-07-27
GBR,United Kingdom,BX.KLT.DINV.WD.GD.ZS,"Foreign direct investment, net inflows (% of GDP)",%,1998,6.6122467239177,World Bank Open Data,2026-07-27
GBR,United Kingdom,BX.KLT.DINV.WD.GD.ZS,"Foreign direct investment, net inflows (% of GDP)",%,1999,7.67019369648798,World Bank Open Data,2026-07-27
GBR,United Kingdom,BX.KLT.DINV.WD.GD.ZS,"Foreign direct investment, net inflows (% of GDP)",%,2000,9.81876940536536,World Bank Open Data,2026-07-27
GBR,United Kingdom,BX.KLT.DINV.WD.GD.ZS,"Foreign direct investment, net inflows (% of GDP)",%,2001,3.38678339988188,World Bank Open Data,2026-07-27
GBR,United Kingdom,BX.KLT.DINV.WD.GD.ZS,"Foreign direct investment, net inflows (% of GDP)",%,2002,5.01305498138785,World Bank Open Data,2026-07-27
GBR,United Kingdom,BX.KLT.DINV.WD.GD.ZS,"Foreign direct investment, net inflows (% of GDP)",%,2003,1.74707721568844,World Bank Open Data,2026-07-27
GBR,United Kingdom,BX.KLT.DINV.WD.GD.ZS,"Foreign direct investment, net inflows (% of GDP)",%,2004,3.58303251413023,World Bank Open Data,2026-07-27
GBR,United Kingdom,BX.KLT.DINV.WD.GD.ZS,"Foreign direct investment, net inflows (% of GDP)",%,2005,9.90268786448172,World Bank Open Data,2026-07-27
GBR,United Kingdom,BX.KLT.DINV.WD.GD.ZS,"Foreign direct investment, net inflows (% of GDP)",%,2006,7.4878491502754,World Bank Open Data,2026-07-27
GBR,United Kingdom,BX.KLT.DINV.WD.GD.ZS,"Foreign direct investment, net inflows (% of GDP)",%,2007,6.74831602886359,World Bank Open Data,2026-07-27
GBR,United Kingdom,BX.KLT.DINV.WD.GD.ZS,"Foreign direct investment, net inflows (% of GDP)",%,2008,8.60551599075423,World Bank Open Data,2026-07-27
GBR,United Kingdom,BX.KLT.DINV.WD.GD.ZS,"Foreign direct investment, net inflows (% of GDP)",%,2009,0.598804602454409,World Bank Open Data,2026-07-27
GBR,United Kingdom,BX.KLT.DINV.WD.GD.ZS,"Foreign direct investment, net inflows (% of GDP)",%,2010,2.67286674184503,World Bank Open Data,2026-07-27
GBR,United Kingdom,BX.KLT.DINV.WD.GD.ZS,"Foreign direct investment, net inflows (% of GDP)",%,2011,1.00957357920277,World Bank Open Data,2026-07-27
GBR,United Kingdom,BX.KLT.DINV.WD.GD.ZS,"Foreign direct investment, net inflows (% of GDP)",%,2012,1.71895853790766,World Bank Open Data,2026-07-27
GBR,United Kingdom,BX.KLT.DINV.WD.GD.ZS,"Foreign direct investment, net inflows (% of GDP)",%,2013,1.94762104828418,World Bank Open Data,2026-07-27
GBR,United Kingdom,BX.KLT.DINV.WD.GD.ZS,"Foreign direct investment, net inflows (% of GDP)",%,2014,1.90870445734316,World Bank Open Data,2026-07-27
GBR,United Kingdom,BX.KLT.DINV.WD.GD.ZS,"Foreign direct investment, net inflows (% of GDP)",%,2015,1.53903424150931,World Bank Open Data,2026-07-27
GBR,United Kingdom,BX.KLT.DINV.WD.GD.ZS,"Foreign direct investment, net inflows (% of GDP)",%,2016,11.9998637298189,World Bank Open Data,2026-07-27
GBR,United Kingdom,BX.KLT.DINV.WD.GD.ZS,"Foreign direct investment, net inflows (% of GDP)",%,2017,4.64443540147576,World Bank Open Data,2026-07-27
GBR,United Kingdom,BX.KLT.DINV.WD.GD.ZS,"Foreign direct investment, net inflows (% of GDP)",%,2018,-0.864867036878713,World Bank Open Data,2026-07-27
GBR,United Kingdom,BX.KLT.DINV.WD.GD.ZS,"Foreign direct investment, net inflows (% of GDP)",%,2019,0.688204352262878,World Bank Open Data,2026-07-27
GBR,United Kingdom,BX.KLT.DINV.WD.GD.ZS,"Foreign direct investment, net inflows (% of GDP)",%,2020,5.77039185007421,World Bank Open Data,2026-07-27
GBR,United Kingdom,BX.KLT.DINV.WD.GD.ZS,"Foreign direct investment, net inflows (% of GDP)",%,2021,3.20643815254935,World Bank Open Data,2026-07-27
GBR,United Kingdom,BX.KLT.DINV.WD.GD.ZS,"Foreign direct investment, net inflows (% of GDP)",%,2022,2.91635435189931,World Bank Open Data,2026-07-27
GBR,United Kingdom,BX.KLT.DINV.WD.GD.ZS,"Foreign direct investment, net inflows (% of GDP)",%,2023,0.403116734836793,World Bank Open Data,2026-07-27
GBR,United Kingdom,BX.KLT.DINV.WD.GD.ZS,"Foreign direct investment, net inflows (% of GDP)",%,2024,-0.350561573947678,World Bank Open Data,2026-07-27
