iso3,country,indicator_code,indicator_name,unit,year,value,source,retrieved
HRV,Croatia,BX.KLT.DINV.WD.GD.ZS,"Foreign direct investment, net inflows (% of GDP)",%,1992,0.122397069887752,World Bank Open Data,2026-07-27
HRV,Croatia,BX.KLT.DINV.WD.GD.ZS,"Foreign direct investment, net inflows (% of GDP)",%,1993,1.28055940790311,World Bank Open Data,2026-07-27
HRV,Croatia,BX.KLT.DINV.WD.GD.ZS,"Foreign direct investment, net inflows (% of GDP)",%,1994,0.759752677889016,World Bank Open Data,2026-07-27
HRV,Croatia,BX.KLT.DINV.WD.GD.ZS,"Foreign direct investment, net inflows (% of GDP)",%,1995,0.474495328041973,World Bank Open Data,2026-07-27
HRV,Croatia,BX.KLT.DINV.WD.GD.ZS,"Foreign direct investment, net inflows (% of GDP)",%,1996,2.0393300632941,World Bank Open Data,2026-07-27
HRV,Croatia,BX.KLT.DINV.WD.GD.ZS,"Foreign direct investment, net inflows (% of GDP)",%,1997,2.46745844738732,World Bank Open Data,2026-07-27
HRV,Croatia,BX.KLT.DINV.WD.GD.ZS,"Foreign direct investment, net inflows (% of GDP)",%,1998,3.87827135851735,World Bank Open Data,2026-07-27
HRV,Croatia,BX.KLT.DINV.WD.GD.ZS,"Foreign direct investment, net inflows (% of GDP)",%,1999,6.11828850381507,World Bank Open Data,2026-07-27
HRV,Croatia,BX.KLT.DINV.WD.GD.ZS,"Foreign direct investment, net inflows (% of GDP)",%,2000,4.58600703994628,World Bank Open Data,2026-07-27
HRV,Croatia,BX.KLT.DINV.WD.GD.ZS,"Foreign direct investment, net inflows (% of GDP)",%,2001,4.49453736192097,World Bank Open Data,2026-07-27
HRV,Croatia,BX.KLT.DINV.WD.GD.ZS,"Foreign direct investment, net inflows (% of GDP)",%,2002,3.66543741693173,World Bank Open Data,2026-07-27
HRV,Croatia,BX.KLT.DINV.WD.GD.ZS,"Foreign direct investment, net inflows (% of GDP)",%,2003,5.23888389777053,World Bank Open Data,2026-07-27
HRV,Croatia,BX.KLT.DINV.WD.GD.ZS,"Foreign direct investment, net inflows (% of GDP)",%,2004,3.14125847138829,World Bank Open Data,2026-07-27
HRV,Croatia,BX.KLT.DINV.WD.GD.ZS,"Foreign direct investment, net inflows (% of GDP)",%,2005,4.03158584721724,World Bank Open Data,2026-07-27
HRV,Croatia,BX.KLT.DINV.WD.GD.ZS,"Foreign direct investment, net inflows (% of GDP)",%,2006,6.74942720543925,World Bank Open Data,2026-07-27
HRV,Croatia,BX.KLT.DINV.WD.GD.ZS,"Foreign direct investment, net inflows (% of GDP)",%,2007,7.83566324230563,World Bank Open Data,2026-07-27
