iso3,country,indicator_code,indicator_name,unit,year,value,source,retrieved
ISL,Iceland,NE.EXP.GNFS.ZS,Exports of goods and services (% of GDP),%,1970,42.8172073495628,World Bank Open Data,2026-07-27
ISL,Iceland,NE.EXP.GNFS.ZS,Exports of goods and services (% of GDP),%,1971,35.6331027884896,World Bank Open Data,2026-07-27
ISL,Iceland,NE.EXP.GNFS.ZS,Exports of goods and services (% of GDP),%,1972,33.3297261213431,World Bank Open Data,2026-07-27
ISL,Iceland,NE.EXP.GNFS.ZS,Exports of goods and services (% of GDP),%,1973,33.8546599954683,World Bank Open Data,2026-07-27
ISL,Iceland,NE.EXP.GNFS.ZS,Exports of goods and services (% of GDP),%,1974,29.9009806235924,World Bank Open Data,2026-07-27
ISL,Iceland,NE.EXP.GNFS.ZS,Exports of goods and services (% of GDP),%,1975,31.6856073384919,World Bank Open Data,2026-07-27
ISL,Iceland,NE.EXP.GNFS.ZS,Exports of goods and services (% of GDP),%,1976,32.8760878074073,World Bank Open Data,2026-07-27
ISL,Iceland,NE.EXP.GNFS.ZS,Exports of goods and services (% of GDP),%,1977,31.3384607972524,World Bank Open Data,2026-07-27
ISL,Iceland,NE.EXP.GNFS.ZS,Exports of goods and services (% of GDP),%,1978,34.7653447172322,World Bank Open Data,2026-07-27
ISL,Iceland,NE.EXP.GNFS.ZS,Exports of goods and services (% of GDP),%,1979,36.120564661033,World Bank Open Data,2026-07-27
ISL,Iceland,NE.EXP.GNFS.ZS,Exports of goods and services (% of GDP),%,1980,33.7848823458535,World Bank Open Data,2026-07-27
ISL,Iceland,NE.EXP.GNFS.ZS,Exports of goods and services (% of GDP),%,1981,32.954359919878,World Bank Open Data,2026-07-27
ISL,Iceland,NE.EXP.GNFS.ZS,Exports of goods and services (% of GDP),%,1982,30.63288372354,World Bank Open Data,2026-07-27
ISL,Iceland,NE.EXP.GNFS.ZS,Exports of goods and services (% of GDP),%,1983,37.7807897333939,World Bank Open Data,2026-07-27
ISL,Iceland,NE.EXP.GNFS.ZS,Exports of goods and services (% of GDP),%,1984,36.1820827658243,World Bank Open Data,2026-07-27
ISL,Iceland,NE.EXP.GNFS.ZS,Exports of goods and services (% of GDP),%,1985,38.3132767981432,World Bank Open Data,2026-07-27
ISL,Iceland,NE.EXP.GNFS.ZS,Exports of goods and services (% of GDP),%,1986,36.7317842426274,World Bank Open Data,2026-07-27
ISL,Iceland,NE.EXP.GNFS.ZS,Exports of goods and services (% of GDP),%,1987,32.6315376659653,World Bank Open Data,2026-07-27
ISL,Iceland,NE.EXP.GNFS.ZS,Exports of goods and services (% of GDP),%,1988,30.2325546407155,World Bank Open Data,2026-07-27
ISL,Iceland,NE.EXP.GNFS.ZS,Exports of goods and services (% of GDP),%,1989,31.9172571149863,World Bank Open Data,2026-07-27
ISL,Iceland,NE.EXP.GNFS.ZS,Exports of goods and services (% of GDP),%,1990,32.0269019765554,World Bank Open Data,2026-07-27
ISL,Iceland,NE.EXP.GNFS.ZS,Exports of goods and services (% of GDP),%,1991,29.7957377288007,World Bank Open Data,2026-07-27
ISL,Iceland,NE.EXP.GNFS.ZS,Exports of goods and services (% of GDP),%,1992,28.8420019880728,World Bank Open Data,2026-07-27
ISL,Iceland,NE.EXP.GNFS.ZS,Exports of goods and services (% of GDP),%,1993,31.1967224913304,World Bank Open Data,2026-07-27
ISL,Iceland,NE.EXP.GNFS.ZS,Exports of goods and services (% of GDP),%,1994,34.0463854374484,World Bank Open Data,2026-07-27
ISL,Iceland,NE.EXP.GNFS.ZS,Exports of goods and services (% of GDP),%,1995,33.8169553716253,World Bank Open Data,2026-07-27
ISL,Iceland,NE.EXP.GNFS.ZS,Exports of goods and services (% of GDP),%,1996,34.5857707971579,World Bank Open Data,2026-07-27
ISL,Iceland,NE.EXP.GNFS.ZS,Exports of goods and services (% of GDP),%,1997,34.8568838729156,World Bank Open Data,2026-07-27
ISL,Iceland,NE.EXP.GNFS.ZS,Exports of goods and services (% of GDP),%,1998,33.2441330480477,World Bank Open Data,2026-07-27
ISL,Iceland,NE.EXP.GNFS.ZS,Exports of goods and services (% of GDP),%,1999,32.009369169014,World Bank Open Data,2026-07-27
ISL,Iceland,NE.EXP.GNFS.ZS,Exports of goods and services (% of GDP),%,2000,31.7273810393269,World Bank Open Data,2026-07-27
ISL,Iceland,NE.EXP.GNFS.ZS,Exports of goods and services (% of GDP),%,2001,36.5477872856168,World Bank Open Data,2026-07-27
ISL,Iceland,NE.EXP.GNFS.ZS,Exports of goods and services (% of GDP),%,2002,35.1463090802713,World Bank Open Data,2026-07-27
ISL,Iceland,NE.EXP.GNFS.ZS,Exports of goods and services (% of GDP),%,2003,32.2403289586041,World Bank Open Data,2026-07-27
ISL,Iceland,NE.EXP.GNFS.ZS,Exports of goods and services (% of GDP),%,2004,32.088197176866,World Bank Open Data,2026-07-27
ISL,Iceland,NE.EXP.GNFS.ZS,Exports of goods and services (% of GDP),%,2005,29.8388266002361,World Bank Open Data,2026-07-27
ISL,Iceland,NE.EXP.GNFS.ZS,Exports of goods and services (% of GDP),%,2006,30.0505516067517,World Bank Open Data,2026-07-27
ISL,Iceland,NE.EXP.GNFS.ZS,Exports of goods and services (% of GDP),%,2007,32.3800963432929,World Bank Open Data,2026-07-27
ISL,Iceland,NE.EXP.GNFS.ZS,Exports of goods and services (% of GDP),%,2008,39.9176741920411,World Bank Open Data,2026-07-27
ISL,Iceland,NE.EXP.GNFS.ZS,Exports of goods and services (% of GDP),%,2009,48.5054584912388,World Bank Open Data,2026-07-27
ISL,Iceland,NE.EXP.GNFS.ZS,Exports of goods and services (% of GDP),%,2010,51.1491601324862,World Bank Open Data,2026-07-27
ISL,Iceland,NE.EXP.GNFS.ZS,Exports of goods and services (% of GDP),%,2011,53.9573436152604,World Bank Open Data,2026-07-27
ISL,Iceland,NE.EXP.GNFS.ZS,Exports of goods and services (% of GDP),%,2012,54.1844944218018,World Bank Open Data,2026-07-27
ISL,Iceland,NE.EXP.GNFS.ZS,Exports of goods and services (% of GDP),%,2013,52.8240993487182,World Bank Open Data,2026-07-27
ISL,Iceland,NE.EXP.GNFS.ZS,Exports of goods and services (% of GDP),%,2014,50.913700514178,World Bank Open Data,2026-07-27
ISL,Iceland,NE.EXP.GNFS.ZS,Exports of goods and services (% of GDP),%,2015,51.3347744437234,World Bank Open Data,2026-07-27
ISL,Iceland,NE.EXP.GNFS.ZS,Exports of goods and services (% of GDP),%,2016,47.4890230949667,World Bank Open Data,2026-07-27
ISL,Iceland,NE.EXP.GNFS.ZS,Exports of goods and services (% of GDP),%,2017,45.671087862199,World Bank Open Data,2026-07-27
ISL,Iceland,NE.EXP.GNFS.ZS,Exports of goods and services (% of GDP),%,2018,46.4719173832948,World Bank Open Data,2026-07-27
ISL,Iceland,NE.EXP.GNFS.ZS,Exports of goods and services (% of GDP),%,2019,44.7138622775299,World Bank Open Data,2026-07-27
ISL,Iceland,NE.EXP.GNFS.ZS,Exports of goods and services (% of GDP),%,2020,34.1387322744214,World Bank Open Data,2026-07-27
ISL,Iceland,NE.EXP.GNFS.ZS,Exports of goods and services (% of GDP),%,2021,37.3649519241173,World Bank Open Data,2026-07-27
ISL,Iceland,NE.EXP.GNFS.ZS,Exports of goods and services (% of GDP),%,2022,46.7254010467249,World Bank Open Data,2026-07-27
ISL,Iceland,NE.EXP.GNFS.ZS,Exports of goods and services (% of GDP),%,2023,43.9745925950012,World Bank Open Data,2026-07-27
