iso3,country,indicator_code,indicator_name,unit,year,value,source,retrieved
MKD,North Macedonia,NE.EXP.GNFS.ZS,Exports of goods and services (% of GDP),%,1990,24.5678571428571,World Bank Open Data,2026-07-27
MKD,North Macedonia,NE.EXP.GNFS.ZS,Exports of goods and services (% of GDP),%,1991,21.7757231404959,World Bank Open Data,2026-07-27
MKD,North Macedonia,NE.EXP.GNFS.ZS,Exports of goods and services (% of GDP),%,1992,51.6639045623086,World Bank Open Data,2026-07-27
MKD,North Macedonia,NE.EXP.GNFS.ZS,Exports of goods and services (% of GDP),%,1993,44.4450307714557,World Bank Open Data,2026-07-27
MKD,North Macedonia,NE.EXP.GNFS.ZS,Exports of goods and services (% of GDP),%,1994,36.3116883116883,World Bank Open Data,2026-07-27
MKD,North Macedonia,NE.EXP.GNFS.ZS,Exports of goods and services (% of GDP),%,1995,31.3839303239845,World Bank Open Data,2026-07-27
MKD,North Macedonia,NE.EXP.GNFS.ZS,Exports of goods and services (% of GDP),%,1996,21.3048439326914,World Bank Open Data,2026-07-27
MKD,North Macedonia,NE.EXP.GNFS.ZS,Exports of goods and services (% of GDP),%,1997,23.4909339016574,World Bank Open Data,2026-07-27
MKD,North Macedonia,NE.EXP.GNFS.ZS,Exports of goods and services (% of GDP),%,1998,23.2667286885206,World Bank Open Data,2026-07-27
MKD,North Macedonia,NE.EXP.GNFS.ZS,Exports of goods and services (% of GDP),%,1999,23.0418595204847,World Bank Open Data,2026-07-27
MKD,North Macedonia,NE.EXP.GNFS.ZS,Exports of goods and services (% of GDP),%,2000,32.9468400859053,World Bank Open Data,2026-07-27
MKD,North Macedonia,NE.EXP.GNFS.ZS,Exports of goods and services (% of GDP),%,2001,29.1989080521251,World Bank Open Data,2026-07-27
MKD,North Macedonia,NE.EXP.GNFS.ZS,Exports of goods and services (% of GDP),%,2002,26.3008496370576,World Bank Open Data,2026-07-27
MKD,North Macedonia,NE.EXP.GNFS.ZS,Exports of goods and services (% of GDP),%,2003,27.6563674663372,World Bank Open Data,2026-07-27
MKD,North Macedonia,NE.EXP.GNFS.ZS,Exports of goods and services (% of GDP),%,2004,30.7041661621306,World Bank Open Data,2026-07-27
MKD,North Macedonia,NE.EXP.GNFS.ZS,Exports of goods and services (% of GDP),%,2005,34.8076006574873,World Bank Open Data,2026-07-27
MKD,North Macedonia,NE.EXP.GNFS.ZS,Exports of goods and services (% of GDP),%,2006,37.791482499104,World Bank Open Data,2026-07-27
MKD,North Macedonia,NE.EXP.GNFS.ZS,Exports of goods and services (% of GDP),%,2007,44.1166137912355,World Bank Open Data,2026-07-27
MKD,North Macedonia,NE.EXP.GNFS.ZS,Exports of goods and services (% of GDP),%,2008,43.2244691363976,World Bank Open Data,2026-07-27
MKD,North Macedonia,NE.EXP.GNFS.ZS,Exports of goods and services (% of GDP),%,2009,32.8055433623879,World Bank Open Data,2026-07-27
MKD,North Macedonia,NE.EXP.GNFS.ZS,Exports of goods and services (% of GDP),%,2010,39.7897533935824,World Bank Open Data,2026-07-27
MKD,North Macedonia,NE.EXP.GNFS.ZS,Exports of goods and services (% of GDP),%,2011,47.1242131386987,World Bank Open Data,2026-07-27
MKD,North Macedonia,NE.EXP.GNFS.ZS,Exports of goods and services (% of GDP),%,2012,45.3742530045875,World Bank Open Data,2026-07-27
