iso3,country,indicator_code,indicator_name,unit,year,value,source,retrieved
MLT,Malta,BX.KLT.DINV.WD.GD.ZS,"Foreign direct investment, net inflows (% of GDP)",%,1990,1.1784825355471,World Bank Open Data,2026-07-27
MLT,Malta,BX.KLT.DINV.WD.GD.ZS,"Foreign direct investment, net inflows (% of GDP)",%,1991,3.27383888278581,World Bank Open Data,2026-07-27
MLT,Malta,BX.KLT.DINV.WD.GD.ZS,"Foreign direct investment, net inflows (% of GDP)",%,1992,2.80264528188354,World Bank Open Data,2026-07-27
MLT,Malta,BX.KLT.DINV.WD.GD.ZS,"Foreign direct investment, net inflows (% of GDP)",%,1993,2.08333375238422,World Bank Open Data,2026-07-27
MLT,Malta,BX.KLT.DINV.WD.GD.ZS,"Foreign direct investment, net inflows (% of GDP)",%,1994,5.05895516610732,World Bank Open Data,2026-07-27
MLT,Malta,BX.KLT.DINV.WD.GD.ZS,"Foreign direct investment, net inflows (% of GDP)",%,1995,10.572840908647,World Bank Open Data,2026-07-27
MLT,Malta,BX.KLT.DINV.WD.GD.ZS,"Foreign direct investment, net inflows (% of GDP)",%,1996,8.18815660340072,World Bank Open Data,2026-07-27
MLT,Malta,BX.KLT.DINV.WD.GD.ZS,"Foreign direct investment, net inflows (% of GDP)",%,1997,3.6174571280456,World Bank Open Data,2026-07-27
MLT,Malta,BX.KLT.DINV.WD.GD.ZS,"Foreign direct investment, net inflows (% of GDP)",%,1998,8.06173977609875,World Bank Open Data,2026-07-27
MLT,Malta,BX.KLT.DINV.WD.GD.ZS,"Foreign direct investment, net inflows (% of GDP)",%,1999,16.2221760728818,World Bank Open Data,2026-07-27
MLT,Malta,BX.KLT.DINV.WD.GD.ZS,"Foreign direct investment, net inflows (% of GDP)",%,2000,18.410214195279,World Bank Open Data,2026-07-27
MLT,Malta,BX.KLT.DINV.WD.GD.ZS,"Foreign direct investment, net inflows (% of GDP)",%,2001,10.2407951566631,World Bank Open Data,2026-07-27
MLT,Malta,BX.KLT.DINV.WD.GD.ZS,"Foreign direct investment, net inflows (% of GDP)",%,2002,-11.1735639287223,World Bank Open Data,2026-07-27
MLT,Malta,BX.KLT.DINV.WD.GD.ZS,"Foreign direct investment, net inflows (% of GDP)",%,2003,16.8221034288909,World Bank Open Data,2026-07-27
MLT,Malta,BX.KLT.DINV.WD.GD.ZS,"Foreign direct investment, net inflows (% of GDP)",%,2004,122.360207462303,World Bank Open Data,2026-07-27
MLT,Malta,BX.KLT.DINV.WD.GD.ZS,"Foreign direct investment, net inflows (% of GDP)",%,2005,341.007652103804,World Bank Open Data,2026-07-27
MLT,Malta,BX.KLT.DINV.WD.GD.ZS,"Foreign direct investment, net inflows (% of GDP)",%,2006,370.903560623921,World Bank Open Data,2026-07-27
MLT,Malta,BX.KLT.DINV.WD.GD.ZS,"Foreign direct investment, net inflows (% of GDP)",%,2007,450.045795914123,World Bank Open Data,2026-07-27
