iso3,country,indicator_code,indicator_name,unit,year,value,source,retrieved
MNE,Montenegro,NE.EXP.GNFS.ZS,Exports of goods and services (% of GDP),%,2000,36.8149918504193,World Bank Open Data,2026-07-27
MNE,Montenegro,NE.EXP.GNFS.ZS,Exports of goods and services (% of GDP),%,2001,38.4234543783926,World Bank Open Data,2026-07-27
MNE,Montenegro,NE.EXP.GNFS.ZS,Exports of goods and services (% of GDP),%,2002,35.3561171254814,World Bank Open Data,2026-07-27
MNE,Montenegro,NE.EXP.GNFS.ZS,Exports of goods and services (% of GDP),%,2003,30.6112461989977,World Bank Open Data,2026-07-27
MNE,Montenegro,NE.EXP.GNFS.ZS,Exports of goods and services (% of GDP),%,2004,42.02204717619,World Bank Open Data,2026-07-27
MNE,Montenegro,NE.EXP.GNFS.ZS,Exports of goods and services (% of GDP),%,2005,43.549124680302,World Bank Open Data,2026-07-27
MNE,Montenegro,NE.EXP.GNFS.ZS,Exports of goods and services (% of GDP),%,2006,40.6242634265822,World Bank Open Data,2026-07-27
MNE,Montenegro,NE.EXP.GNFS.ZS,Exports of goods and services (% of GDP),%,2007,43.035769995382,World Bank Open Data,2026-07-27
MNE,Montenegro,NE.EXP.GNFS.ZS,Exports of goods and services (% of GDP),%,2008,39.5616381600494,World Bank Open Data,2026-07-27
MNE,Montenegro,NE.EXP.GNFS.ZS,Exports of goods and services (% of GDP),%,2009,34.4691900810648,World Bank Open Data,2026-07-27
MNE,Montenegro,NE.EXP.GNFS.ZS,Exports of goods and services (% of GDP),%,2010,36.7147715569435,World Bank Open Data,2026-07-27
MNE,Montenegro,NE.EXP.GNFS.ZS,Exports of goods and services (% of GDP),%,2011,42.4416792045641,World Bank Open Data,2026-07-27
MNE,Montenegro,NE.EXP.GNFS.ZS,Exports of goods and services (% of GDP),%,2012,42.2205079066417,World Bank Open Data,2026-07-27
MNE,Montenegro,NE.EXP.GNFS.ZS,Exports of goods and services (% of GDP),%,2013,41.7506908645144,World Bank Open Data,2026-07-27
MNE,Montenegro,NE.EXP.GNFS.ZS,Exports of goods and services (% of GDP),%,2014,40.2683210854472,World Bank Open Data,2026-07-27
MNE,Montenegro,NE.EXP.GNFS.ZS,Exports of goods and services (% of GDP),%,2015,42.7283879053238,World Bank Open Data,2026-07-27
MNE,Montenegro,NE.EXP.GNFS.ZS,Exports of goods and services (% of GDP),%,2016,40.781995907006,World Bank Open Data,2026-07-27
MNE,Montenegro,NE.EXP.GNFS.ZS,Exports of goods and services (% of GDP),%,2017,41.5011019410718,World Bank Open Data,2026-07-27
MNE,Montenegro,NE.EXP.GNFS.ZS,Exports of goods and services (% of GDP),%,2018,43.4585672370744,World Bank Open Data,2026-07-27
MNE,Montenegro,NE.EXP.GNFS.ZS,Exports of goods and services (% of GDP),%,2019,44.3238379207013,World Bank Open Data,2026-07-27
MNE,Montenegro,NE.EXP.GNFS.ZS,Exports of goods and services (% of GDP),%,2020,26.2522009723037,World Bank Open Data,2026-07-27
MNE,Montenegro,NE.EXP.GNFS.ZS,Exports of goods and services (% of GDP),%,2021,43.1193682105877,World Bank Open Data,2026-07-27
