iso3,country,indicator_code,indicator_name,unit,year,value,source,retrieved
NOR,Norway,NE.EXP.GNFS.ZS,Exports of goods and services (% of GDP),%,1970,35.3370583004929,World Bank Open Data,2026-07-27
NOR,Norway,NE.EXP.GNFS.ZS,Exports of goods and services (% of GDP),%,1971,33.7204196145401,World Bank Open Data,2026-07-27
NOR,Norway,NE.EXP.GNFS.ZS,Exports of goods and services (% of GDP),%,1972,34.0063229999122,World Bank Open Data,2026-07-27
NOR,Norway,NE.EXP.GNFS.ZS,Exports of goods and services (% of GDP),%,1973,36.5061694034697,World Bank Open Data,2026-07-27
NOR,Norway,NE.EXP.GNFS.ZS,Exports of goods and services (% of GDP),%,1974,38.8743097150717,World Bank Open Data,2026-07-27
NOR,Norway,NE.EXP.GNFS.ZS,Exports of goods and services (% of GDP),%,1975,35.3881572027907,World Bank Open Data,2026-07-27
NOR,Norway,NE.EXP.GNFS.ZS,Exports of goods and services (% of GDP),%,1976,35.3282811484595,World Bank Open Data,2026-07-27
NOR,Norway,NE.EXP.GNFS.ZS,Exports of goods and services (% of GDP),%,1977,33.6684923294913,World Bank Open Data,2026-07-27
NOR,Norway,NE.EXP.GNFS.ZS,Exports of goods and services (% of GDP),%,1978,35.5616183562952,World Bank Open Data,2026-07-27
NOR,Norway,NE.EXP.GNFS.ZS,Exports of goods and services (% of GDP),%,1979,38.6351427974574,World Bank Open Data,2026-07-27
NOR,Norway,NE.EXP.GNFS.ZS,Exports of goods and services (% of GDP),%,1980,42.1008132953922,World Bank Open Data,2026-07-27
NOR,Norway,NE.EXP.GNFS.ZS,Exports of goods and services (% of GDP),%,1981,42.1948477777503,World Bank Open Data,2026-07-27
NOR,Norway,NE.EXP.GNFS.ZS,Exports of goods and services (% of GDP),%,1982,40.5774125842897,World Bank Open Data,2026-07-27
NOR,Norway,NE.EXP.GNFS.ZS,Exports of goods and services (% of GDP),%,1983,40.893003784633,World Bank Open Data,2026-07-27
NOR,Norway,NE.EXP.GNFS.ZS,Exports of goods and services (% of GDP),%,1984,41.7083894478333,World Bank Open Data,2026-07-27
