iso3,country,indicator_code,indicator_name,unit,year,value,source,retrieved
POL,Poland,BX.KLT.DINV.WD.GD.ZS,"Foreign direct investment, net inflows (% of GDP)",%,1996,2.8,World Bank Open Data,2026-07-27
POL,Poland,BX.KLT.DINV.WD.GD.ZS,"Foreign direct investment, net inflows (% of GDP)",%,1997,3.07,World Bank Open Data,2026-07-27
POL,Poland,BX.KLT.DINV.WD.GD.ZS,"Foreign direct investment, net inflows (% of GDP)",%,1998,3.64,World Bank Open Data,2026-07-27
POL,Poland,BX.KLT.DINV.WD.GD.ZS,"Foreign direct investment, net inflows (% of GDP)",%,1999,4.34,World Bank Open Data,2026-07-27
POL,Poland,BX.KLT.DINV.WD.GD.ZS,"Foreign direct investment, net inflows (% of GDP)",%,2000,5.4,World Bank Open Data,2026-07-27
POL,Poland,BX.KLT.DINV.WD.GD.ZS,"Foreign direct investment, net inflows (% of GDP)",%,2001,2.96,World Bank Open Data,2026-07-27
POL,Poland,BX.KLT.DINV.WD.GD.ZS,"Foreign direct investment, net inflows (% of GDP)",%,2002,2.05,World Bank Open Data,2026-07-27
POL,Poland,BX.KLT.DINV.WD.GD.ZS,"Foreign direct investment, net inflows (% of GDP)",%,2003,2.46,World Bank Open Data,2026-07-27
POL,Poland,BX.KLT.DINV.WD.GD.ZS,"Foreign direct investment, net inflows (% of GDP)",%,2004,5.41,World Bank Open Data,2026-07-27
POL,Poland,BX.KLT.DINV.WD.GD.ZS,"Foreign direct investment, net inflows (% of GDP)",%,2005,3.6,World Bank Open Data,2026-07-27
POL,Poland,BX.KLT.DINV.WD.GD.ZS,"Foreign direct investment, net inflows (% of GDP)",%,2006,6.21,World Bank Open Data,2026-07-27
POL,Poland,BX.KLT.DINV.WD.GD.ZS,"Foreign direct investment, net inflows (% of GDP)",%,2007,5.83,World Bank Open Data,2026-07-27
POL,Poland,BX.KLT.DINV.WD.GD.ZS,"Foreign direct investment, net inflows (% of GDP)",%,2008,2.72,World Bank Open Data,2026-07-27
POL,Poland,BX.KLT.DINV.WD.GD.ZS,"Foreign direct investment, net inflows (% of GDP)",%,2009,3.18,World Bank Open Data,2026-07-27
POL,Poland,BX.KLT.DINV.WD.GD.ZS,"Foreign direct investment, net inflows (% of GDP)",%,2010,3.94,World Bank Open Data,2026-07-27
POL,Poland,BX.KLT.DINV.WD.GD.ZS,"Foreign direct investment, net inflows (% of GDP)",%,2011,3.57,World Bank Open Data,2026-07-27
POL,Poland,BX.KLT.DINV.WD.GD.ZS,"Foreign direct investment, net inflows (% of GDP)",%,2012,1.53,World Bank Open Data,2026-07-27
POL,Poland,BX.KLT.DINV.WD.GD.ZS,"Foreign direct investment, net inflows (% of GDP)",%,2013,0.26,World Bank Open Data,2026-07-27
POL,Poland,BX.KLT.DINV.WD.GD.ZS,"Foreign direct investment, net inflows (% of GDP)",%,2014,3.85,World Bank Open Data,2026-07-27
POL,Poland,BX.KLT.DINV.WD.GD.ZS,"Foreign direct investment, net inflows (% of GDP)",%,2015,3.3,World Bank Open Data,2026-07-27
POL,Poland,BX.KLT.DINV.WD.GD.ZS,"Foreign direct investment, net inflows (% of GDP)",%,2016,3.82,World Bank Open Data,2026-07-27
POL,Poland,BX.KLT.DINV.WD.GD.ZS,"Foreign direct investment, net inflows (% of GDP)",%,2017,2.38,World Bank Open Data,2026-07-27
