iso3,country,indicator_code,indicator_name,unit,year,value,source,retrieved
WLD,World,NY.GDP.MKTP.CD,GDP (current US$),current US$,1960,1367697816706.48,"World Bank World Development Indicators, NY.GDP.MKTP.CD",2026-08-04
WLD,World,NY.GDP.MKTP.CD,GDP (current US$),current US$,1961,1445418078270.82,"World Bank World Development Indicators, NY.GDP.MKTP.CD",2026-08-04
WLD,World,NY.GDP.MKTP.CD,GDP (current US$),current US$,1962,1546545764840.33,"World Bank World Development Indicators, NY.GDP.MKTP.CD",2026-08-04
WLD,World,NY.GDP.MKTP.CD,GDP (current US$),current US$,1963,1672226662378.7,"World Bank World Development Indicators, NY.GDP.MKTP.CD",2026-08-04
WLD,World,NY.GDP.MKTP.CD,GDP (current US$),current US$,1964,1833219012877.02,"World Bank World Development Indicators, NY.GDP.MKTP.CD",2026-08-04
WLD,World,NY.GDP.MKTP.CD,GDP (current US$),current US$,1965,1997655804366.35,"World Bank World Development Indicators, NY.GDP.MKTP.CD",2026-08-04
WLD,World,NY.GDP.MKTP.CD,GDP (current US$),current US$,1966,2165498646895.2,"World Bank World Development Indicators, NY.GDP.MKTP.CD",2026-08-04
WLD,World,NY.GDP.MKTP.CD,GDP (current US$),current US$,1967,2298119095631.23,"World Bank World Development Indicators, NY.GDP.MKTP.CD",2026-08-04
WLD,World,NY.GDP.MKTP.CD,GDP (current US$),current US$,1968,2483627131302.64,"World Bank World Development Indicators, NY.GDP.MKTP.CD",2026-08-04
WLD,World,NY.GDP.MKTP.CD,GDP (current US$),current US$,1969,2743573825629.55,"World Bank World Development Indicators, NY.GDP.MKTP.CD",2026-08-04
WLD,World,NY.GDP.MKTP.CD,GDP (current US$),current US$,1970,3009478988898.71,"World Bank World Development Indicators, NY.GDP.MKTP.CD",2026-08-04
WLD,World,NY.GDP.MKTP.CD,GDP (current US$),current US$,1971,3325831293865.24,"World Bank World Development Indicators, NY.GDP.MKTP.CD",2026-08-04
WLD,World,NY.GDP.MKTP.CD,GDP (current US$),current US$,1972,3842019736073.42,"World Bank World Development Indicators, NY.GDP.MKTP.CD",2026-08-04
WLD,World,NY.GDP.MKTP.CD,GDP (current US$),current US$,1973,4699146820051.78,"World Bank World Development Indicators, NY.GDP.MKTP.CD",2026-08-04
WLD,World,NY.GDP.MKTP.CD,GDP (current US$),current US$,1974,5431302723228.32,"World Bank World Development Indicators, NY.GDP.MKTP.CD",2026-08-04
WLD,World,NY.GDP.MKTP.CD,GDP (current US$),current US$,1975,6048005016166.34,"World Bank World Development Indicators, NY.GDP.MKTP.CD",2026-08-04
WLD,World,NY.GDP.MKTP.CD,GDP (current US$),current US$,1976,6574572862295.26,"World Bank World Development Indicators, NY.GDP.MKTP.CD",2026-08-04
WLD,World,NY.GDP.MKTP.CD,GDP (current US$),current US$,1977,7433986513280.19,"World Bank World Development Indicators, NY.GDP.MKTP.CD",2026-08-04
WLD,World,NY.GDP.MKTP.CD,GDP (current US$),current US$,1978,8804316947866.46,"World Bank World Development Indicators, NY.GDP.MKTP.CD",2026-08-04
WLD,World,NY.GDP.MKTP.CD,GDP (current US$),current US$,1979,10181253373888.4,"World Bank World Development Indicators, NY.GDP.MKTP.CD",2026-08-04
WLD,World,NY.GDP.MKTP.CD,GDP (current US$),current US$,1980,11479787747421.4,"World Bank World Development Indicators, NY.GDP.MKTP.CD",2026-08-04
WLD,World,NY.GDP.MKTP.CD,GDP (current US$),current US$,1981,11872917775514.8,"World Bank World Development Indicators, NY.GDP.MKTP.CD",2026-08-04
WLD,World,NY.GDP.MKTP.CD,GDP (current US$),current US$,1982,11747181261106.9,"World Bank World Development Indicators, NY.GDP.MKTP.CD",2026-08-04
WLD,World,NY.GDP.MKTP.CD,GDP (current US$),current US$,1983,11993276558849.8,"World Bank World Development Indicators, NY.GDP.MKTP.CD",2026-08-04
WLD,World,NY.GDP.MKTP.CD,GDP (current US$),current US$,1984,12459409786103.5,"World Bank World Development Indicators, NY.GDP.MKTP.CD",2026-08-04
WLD,World,NY.GDP.MKTP.CD,GDP (current US$),current US$,1985,13050699141666.9,"World Bank World Development Indicators, NY.GDP.MKTP.CD",2026-08-04
WLD,World,NY.GDP.MKTP.CD,GDP (current US$),current US$,1986,15397826688510.3,"World Bank World Development Indicators, NY.GDP.MKTP.CD",2026-08-04
WLD,World,NY.GDP.MKTP.CD,GDP (current US$),current US$,1987,17532755119890.9,"World Bank World Development Indicators, NY.GDP.MKTP.CD",2026-08-04
WLD,World,NY.GDP.MKTP.CD,GDP (current US$),current US$,1988,19597682774627.7,"World Bank World Development Indicators, NY.GDP.MKTP.CD",2026-08-04
WLD,World,NY.GDP.MKTP.CD,GDP (current US$),current US$,1989,20467635430294.5,"World Bank World Development Indicators, NY.GDP.MKTP.CD",2026-08-04
WLD,World,NY.GDP.MKTP.CD,GDP (current US$),current US$,1990,22991895905266.2,"World Bank World Development Indicators, NY.GDP.MKTP.CD",2026-08-04
WLD,World,NY.GDP.MKTP.CD,GDP (current US$),current US$,1991,23998499386379.8,"World Bank World Development Indicators, NY.GDP.MKTP.CD",2026-08-04
WLD,World,NY.GDP.MKTP.CD,GDP (current US$),current US$,1992,25631432757013.7,"World Bank World Development Indicators, NY.GDP.MKTP.CD",2026-08-04
WLD,World,NY.GDP.MKTP.CD,GDP (current US$),current US$,1993,26071136171460.6,"World Bank World Development Indicators, NY.GDP.MKTP.CD",2026-08-04
WLD,World,NY.GDP.MKTP.CD,GDP (current US$),current US$,1994,28066274308784.1,"World Bank World Development Indicators, NY.GDP.MKTP.CD",2026-08-04
WLD,World,NY.GDP.MKTP.CD,GDP (current US$),current US$,1995,31338014339198.1,"World Bank World Development Indicators, NY.GDP.MKTP.CD",2026-08-04
WLD,World,NY.GDP.MKTP.CD,GDP (current US$),current US$,1996,32064860700885.1,"World Bank World Development Indicators, NY.GDP.MKTP.CD",2026-08-04
WLD,World,NY.GDP.MKTP.CD,GDP (current US$),current US$,1997,31954804098164.9,"World Bank World Development Indicators, NY.GDP.MKTP.CD",2026-08-04
WLD,World,NY.GDP.MKTP.CD,GDP (current US$),current US$,1998,31780795899557.2,"World Bank World Development Indicators, NY.GDP.MKTP.CD",2026-08-04
WLD,World,NY.GDP.MKTP.CD,GDP (current US$),current US$,1999,32829035976968.2,"World Bank World Development Indicators, NY.GDP.MKTP.CD",2026-08-04
WLD,World,NY.GDP.MKTP.CD,GDP (current US$),current US$,2000,33965806441911.9,"World Bank World Development Indicators, NY.GDP.MKTP.CD",2026-08-04
WLD,World,NY.GDP.MKTP.CD,GDP (current US$),current US$,2001,33747838963540,"World Bank World Development Indicators, NY.GDP.MKTP.CD",2026-08-04
WLD,World,NY.GDP.MKTP.CD,GDP (current US$),current US$,2002,35048255697763.3,"World Bank World Development Indicators, NY.GDP.MKTP.CD",2026-08-04
WLD,World,NY.GDP.MKTP.CD,GDP (current US$),current US$,2003,39288473726074.5,"World Bank World Development Indicators, NY.GDP.MKTP.CD",2026-08-04
WLD,World,NY.GDP.MKTP.CD,GDP (current US$),current US$,2004,44264898214305.3,"World Bank World Development Indicators, NY.GDP.MKTP.CD",2026-08-04
WLD,World,NY.GDP.MKTP.CD,GDP (current US$),current US$,2005,47938461749088.8,"World Bank World Development Indicators, NY.GDP.MKTP.CD",2026-08-04
WLD,World,NY.GDP.MKTP.CD,GDP (current US$),current US$,2006,51965655998564.4,"World Bank World Development Indicators, NY.GDP.MKTP.CD",2026-08-04
WLD,World,NY.GDP.MKTP.CD,GDP (current US$),current US$,2007,58574302755950.8,"World Bank World Development Indicators, NY.GDP.MKTP.CD",2026-08-04
WLD,World,NY.GDP.MKTP.CD,GDP (current US$),current US$,2008,64378551514749.4,"World Bank World Development Indicators, NY.GDP.MKTP.CD",2026-08-04
WLD,World,NY.GDP.MKTP.CD,GDP (current US$),current US$,2009,61049315651690.3,"World Bank World Development Indicators, NY.GDP.MKTP.CD",2026-08-04
WLD,World,NY.GDP.MKTP.CD,GDP (current US$),current US$,2010,66893676131662.8,"World Bank World Development Indicators, NY.GDP.MKTP.CD",2026-08-04
WLD,World,NY.GDP.MKTP.CD,GDP (current US$),current US$,2011,74388644404622.5,"World Bank World Development Indicators, NY.GDP.MKTP.CD",2026-08-04
WLD,World,NY.GDP.MKTP.CD,GDP (current US$),current US$,2012,76055253368044.6,"World Bank World Development Indicators, NY.GDP.MKTP.CD",2026-08-04
WLD,World,NY.GDP.MKTP.CD,GDP (current US$),current US$,2013,78171001460419,"World Bank World Development Indicators, NY.GDP.MKTP.CD",2026-08-04
WLD,World,NY.GDP.MKTP.CD,GDP (current US$),current US$,2014,80243543597078.9,"World Bank World Development Indicators, NY.GDP.MKTP.CD",2026-08-04
WLD,World,NY.GDP.MKTP.CD,GDP (current US$),current US$,2015,75839351828606.2,"World Bank World Development Indicators, NY.GDP.MKTP.CD",2026-08-04
WLD,World,NY.GDP.MKTP.CD,GDP (current US$),current US$,2016,77084966373474,"World Bank World Development Indicators, NY.GDP.MKTP.CD",2026-08-04
