iso3,country,indicator_code,indicator_name,unit,year,value,source,retrieved
AUT,Austria,EUROSTAT.IRT_LT_MCBY,Long-term government bond yield (EMU convergence criterion),%,1985,7.77,Eurostat irt_lt_mcby_a,2026-08-02
AUT,Austria,EUROSTAT.IRT_LT_MCBY,Long-term government bond yield (EMU convergence criterion),%,1986,7.44,Eurostat irt_lt_mcby_a,2026-08-02
AUT,Austria,EUROSTAT.IRT_LT_MCBY,Long-term government bond yield (EMU convergence criterion),%,1987,7.01,Eurostat irt_lt_mcby_a,2026-08-02
AUT,Austria,EUROSTAT.IRT_LT_MCBY,Long-term government bond yield (EMU convergence criterion),%,1988,6.86,Eurostat irt_lt_mcby_a,2026-08-02
AUT,Austria,EUROSTAT.IRT_LT_MCBY,Long-term government bond yield (EMU convergence criterion),%,1989,7.15,Eurostat irt_lt_mcby_a,2026-08-02
AUT,Austria,EUROSTAT.IRT_LT_MCBY,Long-term government bond yield (EMU convergence criterion),%,1990,8.77,Eurostat irt_lt_mcby_a,2026-08-02
AUT,Austria,EUROSTAT.IRT_LT_MCBY,Long-term government bond yield (EMU convergence criterion),%,1991,8.56,Eurostat irt_lt_mcby_a,2026-08-02
AUT,Austria,EUROSTAT.IRT_LT_MCBY,Long-term government bond yield (EMU convergence criterion),%,1992,7.37,Eurostat irt_lt_mcby_a,2026-08-02
AUT,Austria,EUROSTAT.IRT_LT_MCBY,Long-term government bond yield (EMU convergence criterion),%,1993,6.7,Eurostat irt_lt_mcby_a,2026-08-02
AUT,Austria,EUROSTAT.IRT_LT_MCBY,Long-term government bond yield (EMU convergence criterion),%,1994,7.03,Eurostat irt_lt_mcby_a,2026-08-02
AUT,Austria,EUROSTAT.IRT_LT_MCBY,Long-term government bond yield (EMU convergence criterion),%,1995,7.14,Eurostat irt_lt_mcby_a,2026-08-02
AUT,Austria,EUROSTAT.IRT_LT_MCBY,Long-term government bond yield (EMU convergence criterion),%,1996,6.32,Eurostat irt_lt_mcby_a,2026-08-02
AUT,Austria,EUROSTAT.IRT_LT_MCBY,Long-term government bond yield (EMU convergence criterion),%,1997,5.68,Eurostat irt_lt_mcby_a,2026-08-02
AUT,Austria,EUROSTAT.IRT_LT_MCBY,Long-term government bond yield (EMU convergence criterion),%,1998,4.71,Eurostat irt_lt_mcby_a,2026-08-02
AUT,Austria,EUROSTAT.IRT_LT_MCBY,Long-term government bond yield (EMU convergence criterion),%,1999,4.68,Eurostat irt_lt_mcby_a,2026-08-02
AUT,Austria,EUROSTAT.IRT_LT_MCBY,Long-term government bond yield (EMU convergence criterion),%,2000,5.56,Eurostat irt_lt_mcby_a,2026-08-02
AUT,Austria,EUROSTAT.IRT_LT_MCBY,Long-term government bond yield (EMU convergence criterion),%,2001,5.08,Eurostat irt_lt_mcby_a,2026-08-02
