iso3,country,indicator_code,indicator_name,unit,year,value,source,retrieved
ALB,Albania,ST.INT.ARVL,"International tourism, number of arrivals",count,2020,2658000,"World Bank World Development Indicators, ST.INT.ARVL",2026-08-02
ALB,Albania,ST.INT.ARVL,"International tourism, number of arrivals",count,2019,6406000,"World Bank World Development Indicators, ST.INT.ARVL",2026-08-02
ALB,Albania,ST.INT.ARVL,"International tourism, number of arrivals",count,2018,5927000,"World Bank World Development Indicators, ST.INT.ARVL",2026-08-02
ALB,Albania,ST.INT.ARVL,"International tourism, number of arrivals",count,2017,5118000,"World Bank World Development Indicators, ST.INT.ARVL",2026-08-02
ALB,Albania,ST.INT.ARVL,"International tourism, number of arrivals",count,2016,4736000,"World Bank World Development Indicators, ST.INT.ARVL",2026-08-02
ALB,Albania,ST.INT.ARVL,"International tourism, number of arrivals",count,2015,4131000,"World Bank World Development Indicators, ST.INT.ARVL",2026-08-02
ALB,Albania,ST.INT.ARVL,"International tourism, number of arrivals",count,2014,3673000,"World Bank World Development Indicators, ST.INT.ARVL",2026-08-02
ALB,Albania,ST.INT.ARVL,"International tourism, number of arrivals",count,2013,3256000,"World Bank World Development Indicators, ST.INT.ARVL",2026-08-02
ALB,Albania,ST.INT.ARVL,"International tourism, number of arrivals",count,2012,3514000,"World Bank World Development Indicators, ST.INT.ARVL",2026-08-02
ALB,Albania,ST.INT.ARVL,"International tourism, number of arrivals",count,2011,2932000,"World Bank World Development Indicators, ST.INT.ARVL",2026-08-02
ALB,Albania,ST.INT.ARVL,"International tourism, number of arrivals",count,2010,2417000,"World Bank World Development Indicators, ST.INT.ARVL",2026-08-02
ALB,Albania,ST.INT.ARVL,"International tourism, number of arrivals",count,2009,1856000,"World Bank World Development Indicators, ST.INT.ARVL",2026-08-02
ALB,Albania,ST.INT.ARVL,"International tourism, number of arrivals",count,2008,1420000,"World Bank World Development Indicators, ST.INT.ARVL",2026-08-02
ALB,Albania,ST.INT.ARVL,"International tourism, number of arrivals",count,2007,1127000,"World Bank World Development Indicators, ST.INT.ARVL",2026-08-02
ALB,Albania,ST.INT.ARVL,"International tourism, number of arrivals",count,2006,937000,"World Bank World Development Indicators, ST.INT.ARVL",2026-08-02
ALB,Albania,ST.INT.ARVL,"International tourism, number of arrivals",count,2005,748000,"World Bank World Development Indicators, ST.INT.ARVL",2026-08-02
ALB,Albania,ST.INT.ARVL,"International tourism, number of arrivals",count,2004,645000,"World Bank World Development Indicators, ST.INT.ARVL",2026-08-02
ALB,Albania,ST.INT.ARVL,"International tourism, number of arrivals",count,2003,557000,"World Bank World Development Indicators, ST.INT.ARVL",2026-08-02
ALB,Albania,ST.INT.ARVL,"International tourism, number of arrivals",count,2002,470000,"World Bank World Development Indicators, ST.INT.ARVL",2026-08-02
ALB,Albania,ST.INT.ARVL,"International tourism, number of arrivals",count,2001,354000,"World Bank World Development Indicators, ST.INT.ARVL",2026-08-02
ALB,Albania,ST.INT.ARVL,"International tourism, number of arrivals",count,2000,317000,"World Bank World Development Indicators, ST.INT.ARVL",2026-08-02
ALB,Albania,ST.INT.ARVL,"International tourism, number of arrivals",count,1999,371000,"World Bank World Development Indicators, ST.INT.ARVL",2026-08-02
ALB,Albania,ST.INT.ARVL,"International tourism, number of arrivals",count,1998,184000,"World Bank World Development Indicators, ST.INT.ARVL",2026-08-02
ALB,Albania,ST.INT.ARVL,"International tourism, number of arrivals",count,1997,119000,"World Bank World Development Indicators, ST.INT.ARVL",2026-08-02
ALB,Albania,ST.INT.ARVL,"International tourism, number of arrivals",count,1996,287000,"World Bank World Development Indicators, ST.INT.ARVL",2026-08-02
ALB,Albania,ST.INT.ARVL,"International tourism, number of arrivals",count,1995,304000,"World Bank World Development Indicators, ST.INT.ARVL",2026-08-02
ALB,Albania,SM.POP.NETM,Net migration,count,2025,-24230,"World Bank World Development Indicators, SM.POP.NETM",2026-08-02
ALB,Albania,SM.POP.NETM,Net migration,count,2024,-24472,"World Bank World Development Indicators, SM.POP.NETM",2026-08-02
ALB,Albania,SM.POP.NETM,Net migration,count,2023,-25357,"World Bank World Development Indicators, SM.POP.NETM",2026-08-02
ALB,Albania,SM.POP.NETM,Net migration,count,2022,-16426,"World Bank World Development Indicators, SM.POP.NETM",2026-08-02
ALB,Albania,SM.POP.NETM,Net migration,count,2021,-32848,"World Bank World Development Indicators, SM.POP.NETM",2026-08-02
ALB,Albania,SM.POP.NETM,Net migration,count,2020,-16680,"World Bank World Development Indicators, SM.POP.NETM",2026-08-02
ALB,Albania,SM.POP.NETM,Net migration,count,2019,-23094,"World Bank World Development Indicators, SM.POP.NETM",2026-08-02
ALB,Albania,SM.POP.NETM,Net migration,count,2018,-15032,"World Bank World Development Indicators, SM.POP.NETM",2026-08-02
ALB,Albania,SM.POP.NETM,Net migration,count,2017,-14901,"World Bank World Development Indicators, SM.POP.NETM",2026-08-02
ALB,Albania,SM.POP.NETM,Net migration,count,2016,-9347,"World Bank World Development Indicators, SM.POP.NETM",2026-08-02
ALB,Albania,SM.POP.NETM,Net migration,count,2015,-20500,"World Bank World Development Indicators, SM.POP.NETM",2026-08-02
ALB,Albania,SM.POP.NETM,Net migration,count,2014,-21706,"World Bank World Development Indicators, SM.POP.NETM",2026-08-02
ALB,Albania,SM.POP.NETM,Net migration,count,2013,-20681,"World Bank World Development Indicators, SM.POP.NETM",2026-08-02
ALB,Albania,SM.POP.NETM,Net migration,count,2012,-19845,"World Bank World Development Indicators, SM.POP.NETM",2026-08-02
ALB,Albania,SM.POP.NETM,Net migration,count,2011,-18630,"World Bank World Development Indicators, SM.POP.NETM",2026-08-02
ALB,Albania,SM.POP.NETM,Net migration,count,2010,-51907,"World Bank World Development Indicators, SM.POP.NETM",2026-08-02
ALB,Albania,SM.POP.NETM,Net migration,count,2009,-51657,"World Bank World Development Indicators, SM.POP.NETM",2026-08-02
ALB,Albania,SM.POP.NETM,Net migration,count,2008,-50619,"World Bank World Development Indicators, SM.POP.NETM",2026-08-02
ALB,Albania,SM.POP.NETM,Net migration,count,2007,-49770,"World Bank World Development Indicators, SM.POP.NETM",2026-08-02
ALB,Albania,SM.POP.NETM,Net migration,count,2006,-48882,"World Bank World Development Indicators, SM.POP.NETM",2026-08-02
ALB,Albania,SM.POP.NETM,Net migration,count,2005,-48893,"World Bank World Development Indicators, SM.POP.NETM",2026-08-02
ALB,Albania,SM.POP.NETM,Net migration,count,2004,-48654,"World Bank World Development Indicators, SM.POP.NETM",2026-08-02
ALB,Albania,SM.POP.NETM,Net migration,count,2003,-48517,"World Bank World Development Indicators, SM.POP.NETM",2026-08-02
ALB,Albania,SM.POP.NETM,Net migration,count,2002,-45178,"World Bank World Development Indicators, SM.POP.NETM",2026-08-02
ALB,Albania,SM.POP.NETM,Net migration,count,2001,-48070,"World Bank World Development Indicators, SM.POP.NETM",2026-08-02
ALB,Albania,SM.POP.NETM,Net migration,count,2000,-60531,"World Bank World Development Indicators, SM.POP.NETM",2026-08-02
ALB,Albania,SM.POP.NETM,Net migration,count,1999,-63093,"World Bank World Development Indicators, SM.POP.NETM",2026-08-02
ALB,Albania,SM.POP.NETM,Net migration,count,1998,-66087,"World Bank World Development Indicators, SM.POP.NETM",2026-08-02
ALB,Albania,SM.POP.NETM,Net migration,count,1997,-66188,"World Bank World Development Indicators, SM.POP.NETM",2026-08-02
ALB,Albania,SM.POP.NETM,Net migration,count,1996,-68076,"World Bank World Development Indicators, SM.POP.NETM",2026-08-02
ALB,Albania,SM.POP.NETM,Net migration,count,1995,-69785,"World Bank World Development Indicators, SM.POP.NETM",2026-08-02
ALB,Albania,SM.POP.NETM,Net migration,count,1994,-70165,"World Bank World Development Indicators, SM.POP.NETM",2026-08-02
ALB,Albania,SM.POP.NETM,Net migration,count,1993,-68445,"World Bank World Development Indicators, SM.POP.NETM",2026-08-02
ALB,Albania,SM.POP.NETM,Net migration,count,1992,-66538,"World Bank World Development Indicators, SM.POP.NETM",2026-08-02
ALB,Albania,SM.POP.NETM,Net migration,count,1991,-63689,"World Bank World Development Indicators, SM.POP.NETM",2026-08-02
ALB,Albania,SM.POP.NETM,Net migration,count,1990,-60173,"World Bank World Development Indicators, SM.POP.NETM",2026-08-02
ALB,Albania,SM.POP.NETM,Net migration,count,1989,-38835,"World Bank World Development Indicators, SM.POP.NETM",2026-08-02
ALB,Albania,SM.POP.NETM,Net migration,count,1988,658,"World Bank World Development Indicators, SM.POP.NETM",2026-08-02
ALB,Albania,SM.POP.NETM,Net migration,count,1987,-3250,"World Bank World Development Indicators, SM.POP.NETM",2026-08-02
ALB,Albania,SM.POP.NETM,Net migration,count,1986,-2309,"World Bank World Development Indicators, SM.POP.NETM",2026-08-02
ALB,Albania,SM.POP.NETM,Net migration,count,1985,-183,"World Bank World Development Indicators, SM.POP.NETM",2026-08-02
ALB,Albania,SM.POP.NETM,Net migration,count,1984,64,"World Bank World Development Indicators, SM.POP.NETM",2026-08-02
ALB,Albania,SM.POP.NETM,Net migration,count,1983,66,"World Bank World Development Indicators, SM.POP.NETM",2026-08-02
ALB,Albania,SM.POP.NETM,Net migration,count,1982,-225,"World Bank World Development Indicators, SM.POP.NETM",2026-08-02
ALB,Albania,SM.POP.NETM,Net migration,count,1981,-374,"World Bank World Development Indicators, SM.POP.NETM",2026-08-02
ALB,Albania,SM.POP.NETM,Net migration,count,1980,-601,"World Bank World Development Indicators, SM.POP.NETM",2026-08-02
ALB,Albania,SM.POP.NETM,Net migration,count,1979,-1871,"World Bank World Development Indicators, SM.POP.NETM",2026-08-02
ALB,Albania,SM.POP.NETM,Net migration,count,1978,3230,"World Bank World Development Indicators, SM.POP.NETM",2026-08-02
ALB,Albania,SM.POP.NETM,Net migration,count,1977,-1417,"World Bank World Development Indicators, SM.POP.NETM",2026-08-02
ALB,Albania,SM.POP.NETM,Net migration,count,1976,-1684,"World Bank World Development Indicators, SM.POP.NETM",2026-08-02
ALB,Albania,SM.POP.NETM,Net migration,count,1975,-2610,"World Bank World Development Indicators, SM.POP.NETM",2026-08-02
ALB,Albania,SM.POP.NETM,Net migration,count,1974,-1880,"World Bank World Development Indicators, SM.POP.NETM",2026-08-02
ALB,Albania,SM.POP.NETM,Net migration,count,1973,-1419,"World Bank World Development Indicators, SM.POP.NETM",2026-08-02
ALB,Albania,SM.POP.NETM,Net migration,count,1972,-1588,"World Bank World Development Indicators, SM.POP.NETM",2026-08-02
ALB,Albania,SM.POP.NETM,Net migration,count,1971,-911,"World Bank World Development Indicators, SM.POP.NETM",2026-08-02
ALB,Albania,SM.POP.NETM,Net migration,count,1970,92,"World Bank World Development Indicators, SM.POP.NETM",2026-08-02
ALB,Albania,SM.POP.NETM,Net migration,count,1969,2665,"World Bank World Development Indicators, SM.POP.NETM",2026-08-02
ALB,Albania,SM.POP.NETM,Net migration,count,1968,10490,"World Bank World Development Indicators, SM.POP.NETM",2026-08-02
ALB,Albania,SM.POP.NETM,Net migration,count,1967,12252,"World Bank World Development Indicators, SM.POP.NETM",2026-08-02
ALB,Albania,SM.POP.NETM,Net migration,count,1966,11858,"World Bank World Development Indicators, SM.POP.NETM",2026-08-02
ALB,Albania,SM.POP.NETM,Net migration,count,1965,9617,"World Bank World Development Indicators, SM.POP.NETM",2026-08-02
ALB,Albania,SM.POP.NETM,Net migration,count,1964,6604,"World Bank World Development Indicators, SM.POP.NETM",2026-08-02
ALB,Albania,SM.POP.NETM,Net migration,count,1963,4091,"World Bank World Development Indicators, SM.POP.NETM",2026-08-02
ALB,Albania,SM.POP.NETM,Net migration,count,1962,2325,"World Bank World Development Indicators, SM.POP.NETM",2026-08-02
ALB,Albania,SM.POP.NETM,Net migration,count,1961,829,"World Bank World Development Indicators, SM.POP.NETM",2026-08-02
ALB,Albania,SM.POP.NETM,Net migration,count,1960,13734,"World Bank World Development Indicators, SM.POP.NETM",2026-08-02
ALB,Albania,SI.POV.GINI,Gini index,index,2020,29.4,"World Bank World Development Indicators, SI.POV.GINI",2026-08-02
ALB,Albania,SI.POV.GINI,Gini index,index,2019,30.1,"World Bank World Development Indicators, SI.POV.GINI",2026-08-02
ALB,Albania,SI.POV.GINI,Gini index,index,2018,30.1,"World Bank World Development Indicators, SI.POV.GINI",2026-08-02
ALB,Albania,SI.POV.GINI,Gini index,index,2017,33.1,"World Bank World Development Indicators, SI.POV.GINI",2026-08-02
ALB,Albania,SI.POV.GINI,Gini index,index,2016,33.7,"World Bank World Development Indicators, SI.POV.GINI",2026-08-02
ALB,Albania,SI.POV.GINI,Gini index,index,2015,32.8,"World Bank World Development Indicators, SI.POV.GINI",2026-08-02
ALB,Albania,SI.POV.GINI,Gini index,index,2014,34.6,"World Bank World Development Indicators, SI.POV.GINI",2026-08-02
