iso3,country,indicator_code,indicator_name,unit,year,value,source,retrieved
UKR,Ukraine,NE.EXP.GNFS.ZS,Exports of goods and services (% of GDP),% of GDP,2025,25.3335332319508,"World Bank World Development Indicators, NE.EXP.GNFS.ZS",2026-08-02
UKR,Ukraine,NE.EXP.GNFS.ZS,Exports of goods and services (% of GDP),% of GDP,2024,29.6719973021423,"World Bank World Development Indicators, NE.EXP.GNFS.ZS",2026-08-02
UKR,Ukraine,NE.EXP.GNFS.ZS,Exports of goods and services (% of GDP),% of GDP,2023,28.300468273727,"World Bank World Development Indicators, NE.EXP.GNFS.ZS",2026-08-02
UKR,Ukraine,NE.EXP.GNFS.ZS,Exports of goods and services (% of GDP),% of GDP,2022,35.4451153382041,"World Bank World Development Indicators, NE.EXP.GNFS.ZS",2026-08-02
UKR,Ukraine,NE.EXP.GNFS.ZS,Exports of goods and services (% of GDP),% of GDP,2021,40.6883404768688,"World Bank World Development Indicators, NE.EXP.GNFS.ZS",2026-08-02
UKR,Ukraine,NE.EXP.GNFS.ZS,Exports of goods and services (% of GDP),% of GDP,2020,38.8216462901934,"World Bank World Development Indicators, NE.EXP.GNFS.ZS",2026-08-02
UKR,Ukraine,NE.EXP.GNFS.ZS,Exports of goods and services (% of GDP),% of GDP,2019,41.2316912560049,"World Bank World Development Indicators, NE.EXP.GNFS.ZS",2026-08-02
UKR,Ukraine,NE.EXP.GNFS.ZS,Exports of goods and services (% of GDP),% of GDP,2018,45.2352356625927,"World Bank World Development Indicators, NE.EXP.GNFS.ZS",2026-08-02
UKR,Ukraine,NE.EXP.GNFS.ZS,Exports of goods and services (% of GDP),% of GDP,2017,48.1249163515559,"World Bank World Development Indicators, NE.EXP.GNFS.ZS",2026-08-02
UKR,Ukraine,NE.EXP.GNFS.ZS,Exports of goods and services (% of GDP),% of GDP,2016,49.2986194577187,"World Bank World Development Indicators, NE.EXP.GNFS.ZS",2026-08-02
UKR,Ukraine,NE.EXP.GNFS.ZS,Exports of goods and services (% of GDP),% of GDP,2015,52.5976795082231,"World Bank World Development Indicators, NE.EXP.GNFS.ZS",2026-08-02
UKR,Ukraine,NE.EXP.GNFS.ZS,Exports of goods and services (% of GDP),% of GDP,2014,48.5929618158503,"World Bank World Development Indicators, NE.EXP.GNFS.ZS",2026-08-02
UKR,Ukraine,NE.EXP.GNFS.ZS,Exports of goods and services (% of GDP),% of GDP,2013,42.8973826672717,"World Bank World Development Indicators, NE.EXP.GNFS.ZS",2026-08-02
UKR,Ukraine,NE.EXP.GNFS.ZS,Exports of goods and services (% of GDP),% of GDP,2012,47.38283156146,"World Bank World Development Indicators, NE.EXP.GNFS.ZS",2026-08-02
UKR,Ukraine,NE.EXP.GNFS.ZS,Exports of goods and services (% of GDP),% of GDP,2011,49.4061569340739,"World Bank World Development Indicators, NE.EXP.GNFS.ZS",2026-08-02
UKR,Ukraine,NE.EXP.GNFS.ZS,Exports of goods and services (% of GDP),% of GDP,2010,46.4565383259637,"World Bank World Development Indicators, NE.EXP.GNFS.ZS",2026-08-02
UKR,Ukraine,NE.EXP.GNFS.ZS,Exports of goods and services (% of GDP),% of GDP,2009,42.9288246983766,"World Bank World Development Indicators, NE.EXP.GNFS.ZS",2026-08-02
UKR,Ukraine,NE.EXP.GNFS.ZS,Exports of goods and services (% of GDP),% of GDP,2008,43.2598688559666,"World Bank World Development Indicators, NE.EXP.GNFS.ZS",2026-08-02
UKR,Ukraine,NE.EXP.GNFS.ZS,Exports of goods and services (% of GDP),% of GDP,2007,41.2899111443658,"World Bank World Development Indicators, NE.EXP.GNFS.ZS",2026-08-02
