iso3,country,indicator_code,indicator_name,unit,year,value,source,retrieved
CHE,Switzerland,SI.POV.GINI,Gini index,index,2022,33.8,"World Bank World Development Indicators, SI.POV.GINI",2026-08-02
CHE,Switzerland,SI.POV.GINI,Gini index,index,2021,33.8,"World Bank World Development Indicators, SI.POV.GINI",2026-08-02
CHE,Switzerland,SI.POV.GINI,Gini index,index,2020,33.7,"World Bank World Development Indicators, SI.POV.GINI",2026-08-02
CHE,Switzerland,SI.POV.GINI,Gini index,index,2019,34,"World Bank World Development Indicators, SI.POV.GINI",2026-08-02
CHE,Switzerland,SI.POV.GINI,Gini index,index,2018,33.1,"World Bank World Development Indicators, SI.POV.GINI",2026-08-02
CHE,Switzerland,SI.POV.GINI,Gini index,index,2017,32.7,"World Bank World Development Indicators, SI.POV.GINI",2026-08-02
CHE,Switzerland,SI.POV.GINI,Gini index,index,2016,33,"World Bank World Development Indicators, SI.POV.GINI",2026-08-02
CHE,Switzerland,SI.POV.GINI,Gini index,index,2015,32.3,"World Bank World Development Indicators, SI.POV.GINI",2026-08-02
CHE,Switzerland,SI.POV.GINI,Gini index,index,2014,32.5,"World Bank World Development Indicators, SI.POV.GINI",2026-08-02
CHE,Switzerland,SI.POV.GINI,Gini index,index,2013,32.5,"World Bank World Development Indicators, SI.POV.GINI",2026-08-02
CHE,Switzerland,SI.POV.GINI,Gini index,index,2012,31.6,"World Bank World Development Indicators, SI.POV.GINI",2026-08-02
CHE,Switzerland,SI.POV.GINI,Gini index,index,2011,31.7,"World Bank World Development Indicators, SI.POV.GINI",2026-08-02
CHE,Switzerland,SI.POV.GINI,Gini index,index,2010,32.6,"World Bank World Development Indicators, SI.POV.GINI",2026-08-02
CHE,Switzerland,SI.POV.GINI,Gini index,index,2009,32.9,"World Bank World Development Indicators, SI.POV.GINI",2026-08-02
CHE,Switzerland,SI.POV.GINI,Gini index,index,2008,33.8,"World Bank World Development Indicators, SI.POV.GINI",2026-08-02
CHE,Switzerland,SI.POV.GINI,Gini index,index,2007,34.3,"World Bank World Development Indicators, SI.POV.GINI",2026-08-02
CHE,Switzerland,SI.POV.GINI,Gini index,index,2006,33.9,"World Bank World Development Indicators, SI.POV.GINI",2026-08-02
CHE,Switzerland,SI.POV.GINI,Gini index,index,2004,31.6,"World Bank World Development Indicators, SI.POV.GINI",2026-08-02
CHE,Switzerland,SI.POV.GINI,Gini index,index,2002,31.7,"World Bank World Development Indicators, SI.POV.GINI",2026-08-02
CHE,Switzerland,SI.POV.GINI,Gini index,index,2000,33.4,"World Bank World Development Indicators, SI.POV.GINI",2026-08-02
CHE,Switzerland,SI.POV.GINI,Gini index,index,1992,33.9,"World Bank World Development Indicators, SI.POV.GINI",2026-08-02
CHE,Switzerland,SI.POV.GINI,Gini index,index,1982,36,"World Bank World Development Indicators, SI.POV.GINI",2026-08-02
NOR,Norway,BX.KLT.DINV.WD.GD.ZS,"Foreign direct investment, net inflows (% of GDP)",% of GDP,2025,-1.4735026863079,"World Bank World Development Indicators, BX.KLT.DINV.WD.GD.ZS",2026-08-02
NOR,Norway,BX.KLT.DINV.WD.GD.ZS,"Foreign direct investment, net inflows (% of GDP)",% of GDP,2024,2.42254685844836,"World Bank World Development Indicators, BX.KLT.DINV.WD.GD.ZS",2026-08-02
NOR,Norway,BX.KLT.DINV.WD.GD.ZS,"Foreign direct investment, net inflows (% of GDP)",% of GDP,2023,2.74499093797298,"World Bank World Development Indicators, BX.KLT.DINV.WD.GD.ZS",2026-08-02
NOR,Norway,BX.KLT.DINV.WD.GD.ZS,"Foreign direct investment, net inflows (% of GDP)",% of GDP,2022,2.31291587479113,"World Bank World Development Indicators, BX.KLT.DINV.WD.GD.ZS",2026-08-02
NOR,Norway,BX.KLT.DINV.WD.GD.ZS,"Foreign direct investment, net inflows (% of GDP)",% of GDP,2021,3.51903435020736,"World Bank World Development Indicators, BX.KLT.DINV.WD.GD.ZS",2026-08-02
NOR,Norway,BX.KLT.DINV.WD.GD.ZS,"Foreign direct investment, net inflows (% of GDP)",% of GDP,2020,-0.858417094148667,"World Bank World Development Indicators, BX.KLT.DINV.WD.GD.ZS",2026-08-02
NOR,Norway,BX.KLT.DINV.WD.GD.ZS,"Foreign direct investment, net inflows (% of GDP)",% of GDP,2019,3.84915053606091,"World Bank World Development Indicators, BX.KLT.DINV.WD.GD.ZS",2026-08-02
NOR,Norway,BX.KLT.DINV.WD.GD.ZS,"Foreign direct investment, net inflows (% of GDP)",% of GDP,2018,-1.24603124120942,"World Bank World Development Indicators, BX.KLT.DINV.WD.GD.ZS",2026-08-02
NOR,Norway,BX.KLT.DINV.WD.GD.ZS,"Foreign direct investment, net inflows (% of GDP)",% of GDP,2017,1.41952980990481,"World Bank World Development Indicators, BX.KLT.DINV.WD.GD.ZS",2026-08-02
NOR,Norway,BX.KLT.DINV.WD.GD.ZS,"Foreign direct investment, net inflows (% of GDP)",% of GDP,2016,-4.87068870473279,"World Bank World Development Indicators, BX.KLT.DINV.WD.GD.ZS",2026-08-02
NOR,Norway,BX.KLT.DINV.WD.GD.ZS,"Foreign direct investment, net inflows (% of GDP)",% of GDP,2015,1.81548452900569,"World Bank World Development Indicators, BX.KLT.DINV.WD.GD.ZS",2026-08-02
NOR,Norway,BX.KLT.DINV.WD.GD.ZS,"Foreign direct investment, net inflows (% of GDP)",% of GDP,2014,0.628548707490107,"World Bank World Development Indicators, BX.KLT.DINV.WD.GD.ZS",2026-08-02
NOR,Norway,BX.KLT.DINV.WD.GD.ZS,"Foreign direct investment, net inflows (% of GDP)",% of GDP,2013,-0.253383714333266,"World Bank World Development Indicators, BX.KLT.DINV.WD.GD.ZS",2026-08-02
NOR,Norway,BX.KLT.DINV.WD.GD.ZS,"Foreign direct investment, net inflows (% of GDP)",% of GDP,2012,5.31305937295199,"World Bank World Development Indicators, BX.KLT.DINV.WD.GD.ZS",2026-08-02
