iso3,country,indicator_code,indicator_name,unit,year,value,source,retrieved
AUT,Austria,SP.POP.TOTL,"Population, total",count,1960,7047539,"World Bank World Development Indicators, SP.POP.TOTL",2026-08-02
AUT,Austria,SP.POP.TOTL,"Population, total",count,1961,7086299,"World Bank World Development Indicators, SP.POP.TOTL",2026-08-02
AUT,Austria,SP.POP.TOTL,"Population, total",count,1962,7129864,"World Bank World Development Indicators, SP.POP.TOTL",2026-08-02
AUT,Austria,SP.POP.TOTL,"Population, total",count,1963,7175811,"World Bank World Development Indicators, SP.POP.TOTL",2026-08-02
AUT,Austria,SP.POP.TOTL,"Population, total",count,1964,7223801,"World Bank World Development Indicators, SP.POP.TOTL",2026-08-02
AUT,Austria,SP.POP.TOTL,"Population, total",count,1965,7270889,"World Bank World Development Indicators, SP.POP.TOTL",2026-08-02
AUT,Austria,SP.POP.TOTL,"Population, total",count,1966,7322066,"World Bank World Development Indicators, SP.POP.TOTL",2026-08-02
AUT,Austria,SP.POP.TOTL,"Population, total",count,1967,7376998,"World Bank World Development Indicators, SP.POP.TOTL",2026-08-02
AUT,Austria,SP.POP.TOTL,"Population, total",count,1968,7415403,"World Bank World Development Indicators, SP.POP.TOTL",2026-08-02
AUT,Austria,SP.POP.TOTL,"Population, total",count,1969,7441055,"World Bank World Development Indicators, SP.POP.TOTL",2026-08-02
AUT,Austria,SP.POP.TOTL,"Population, total",count,1970,7467086,"World Bank World Development Indicators, SP.POP.TOTL",2026-08-02
AUT,Austria,SP.POP.TOTL,"Population, total",count,1971,7500482,"World Bank World Development Indicators, SP.POP.TOTL",2026-08-02
AUT,Austria,SP.POP.TOTL,"Population, total",count,1972,7544201,"World Bank World Development Indicators, SP.POP.TOTL",2026-08-02
AUT,Austria,SP.POP.TOTL,"Population, total",count,1973,7586115,"World Bank World Development Indicators, SP.POP.TOTL",2026-08-02
AUT,Austria,SP.POP.TOTL,"Population, total",count,1974,7599038,"World Bank World Development Indicators, SP.POP.TOTL",2026-08-02
AUT,Austria,SP.POP.TOTL,"Population, total",count,1975,7578903,"World Bank World Development Indicators, SP.POP.TOTL",2026-08-02
AUT,Austria,SP.POP.TOTL,"Population, total",count,1976,7565525,"World Bank World Development Indicators, SP.POP.TOTL",2026-08-02
AUT,Austria,SP.POP.TOTL,"Population, total",count,1977,7568430,"World Bank World Development Indicators, SP.POP.TOTL",2026-08-02
AUT,Austria,SP.POP.TOTL,"Population, total",count,1978,7562305,"World Bank World Development Indicators, SP.POP.TOTL",2026-08-02
AUT,Austria,SP.POP.TOTL,"Population, total",count,1979,7549425,"World Bank World Development Indicators, SP.POP.TOTL",2026-08-02
AUT,Austria,SP.POP.TOTL,"Population, total",count,1980,7549433,"World Bank World Development Indicators, SP.POP.TOTL",2026-08-02
AUT,Austria,SP.POP.TOTL,"Population, total",count,1981,7568710,"World Bank World Development Indicators, SP.POP.TOTL",2026-08-02
AUT,Austria,SP.POP.TOTL,"Population, total",count,1982,7574140,"World Bank World Development Indicators, SP.POP.TOTL",2026-08-02
AUT,Austria,SP.POP.TOTL,"Population, total",count,1983,7561910,"World Bank World Development Indicators, SP.POP.TOTL",2026-08-02
AUT,Austria,SP.POP.TOTL,"Population, total",count,1984,7561434,"World Bank World Development Indicators, SP.POP.TOTL",2026-08-02
AUT,Austria,SP.POP.TOTL,"Population, total",count,1985,7564985,"World Bank World Development Indicators, SP.POP.TOTL",2026-08-02
AUT,Austria,SP.POP.TOTL,"Population, total",count,1986,7569794,"World Bank World Development Indicators, SP.POP.TOTL",2026-08-02
AUT,Austria,SP.POP.TOTL,"Population, total",count,1987,7574586,"World Bank World Development Indicators, SP.POP.TOTL",2026-08-02
AUT,Austria,SP.POP.TOTL,"Population, total",count,1988,7585317,"World Bank World Development Indicators, SP.POP.TOTL",2026-08-02
AUT,Austria,SP.POP.TOTL,"Population, total",count,1989,7619567,"World Bank World Development Indicators, SP.POP.TOTL",2026-08-02
AUT,Austria,SP.POP.TOTL,"Population, total",count,1990,7677850,"World Bank World Development Indicators, SP.POP.TOTL",2026-08-02
AUT,Austria,SP.POP.TOTL,"Population, total",count,1991,7754891,"World Bank World Development Indicators, SP.POP.TOTL",2026-08-02
AUT,Austria,SP.POP.TOTL,"Population, total",count,1992,7840709,"World Bank World Development Indicators, SP.POP.TOTL",2026-08-02
AUT,Austria,SP.POP.TOTL,"Population, total",count,1993,7905633,"World Bank World Development Indicators, SP.POP.TOTL",2026-08-02
AUT,Austria,SP.POP.TOTL,"Population, total",count,1994,7936118,"World Bank World Development Indicators, SP.POP.TOTL",2026-08-02
AUT,Austria,SP.POP.TOTL,"Population, total",count,1995,7948278,"World Bank World Development Indicators, SP.POP.TOTL",2026-08-02
AUT,Austria,SP.POP.TOTL,"Population, total",count,1996,7959017,"World Bank World Development Indicators, SP.POP.TOTL",2026-08-02
AUT,Austria,SP.POP.TOTL,"Population, total",count,1997,7968041,"World Bank World Development Indicators, SP.POP.TOTL",2026-08-02
AUT,Austria,SP.POP.TOTL,"Population, total",count,1998,7976789,"World Bank World Development Indicators, SP.POP.TOTL",2026-08-02
