iso3,country,indicator_code,indicator_name,unit,year,value,source,retrieved
ITA,Italy,SP.POP.TOTL,"Population, total",count,1960,50199700,"World Bank World Development Indicators, SP.POP.TOTL",2026-08-02
ITA,Italy,SP.POP.TOTL,"Population, total",count,1961,50536350,"World Bank World Development Indicators, SP.POP.TOTL",2026-08-02
ITA,Italy,SP.POP.TOTL,"Population, total",count,1962,50879450,"World Bank World Development Indicators, SP.POP.TOTL",2026-08-02
ITA,Italy,SP.POP.TOTL,"Population, total",count,1963,51252000,"World Bank World Development Indicators, SP.POP.TOTL",2026-08-02
ITA,Italy,SP.POP.TOTL,"Population, total",count,1964,51675350,"World Bank World Development Indicators, SP.POP.TOTL",2026-08-02
ITA,Italy,SP.POP.TOTL,"Population, total",count,1965,52112350,"World Bank World Development Indicators, SP.POP.TOTL",2026-08-02
ITA,Italy,SP.POP.TOTL,"Population, total",count,1966,52519000,"World Bank World Development Indicators, SP.POP.TOTL",2026-08-02
ITA,Italy,SP.POP.TOTL,"Population, total",count,1967,52900500,"World Bank World Development Indicators, SP.POP.TOTL",2026-08-02
ITA,Italy,SP.POP.TOTL,"Population, total",count,1968,53235750,"World Bank World Development Indicators, SP.POP.TOTL",2026-08-02
ITA,Italy,SP.POP.TOTL,"Population, total",count,1969,53537950,"World Bank World Development Indicators, SP.POP.TOTL",2026-08-02
ITA,Italy,SP.POP.TOTL,"Population, total",count,1970,53821850,"World Bank World Development Indicators, SP.POP.TOTL",2026-08-02
ITA,Italy,SP.POP.TOTL,"Population, total",count,1971,54073490,"World Bank World Development Indicators, SP.POP.TOTL",2026-08-02
ITA,Italy,SP.POP.TOTL,"Population, total",count,1972,54381345,"World Bank World Development Indicators, SP.POP.TOTL",2026-08-02
ITA,Italy,SP.POP.TOTL,"Population, total",count,1973,54751406,"World Bank World Development Indicators, SP.POP.TOTL",2026-08-02
ITA,Italy,SP.POP.TOTL,"Population, total",count,1974,55110868,"World Bank World Development Indicators, SP.POP.TOTL",2026-08-02
ITA,Italy,SP.POP.TOTL,"Population, total",count,1975,55441001,"World Bank World Development Indicators, SP.POP.TOTL",2026-08-02
ITA,Italy,SP.POP.TOTL,"Population, total",count,1976,55718260,"World Bank World Development Indicators, SP.POP.TOTL",2026-08-02
ITA,Italy,SP.POP.TOTL,"Population, total",count,1977,55955411,"World Bank World Development Indicators, SP.POP.TOTL",2026-08-02
ITA,Italy,SP.POP.TOTL,"Population, total",count,1978,56155143,"World Bank World Development Indicators, SP.POP.TOTL",2026-08-02
ITA,Italy,SP.POP.TOTL,"Population, total",count,1979,56317749,"World Bank World Development Indicators, SP.POP.TOTL",2026-08-02
ITA,Italy,SP.POP.TOTL,"Population, total",count,1980,56433883,"World Bank World Development Indicators, SP.POP.TOTL",2026-08-02
ITA,Italy,SP.POP.TOTL,"Population, total",count,1981,56501675,"World Bank World Development Indicators, SP.POP.TOTL",2026-08-02
ITA,Italy,SP.POP.TOTL,"Population, total",count,1982,56543548,"World Bank World Development Indicators, SP.POP.TOTL",2026-08-02
ITA,Italy,SP.POP.TOTL,"Population, total",count,1983,56564074,"World Bank World Development Indicators, SP.POP.TOTL",2026-08-02
ITA,Italy,SP.POP.TOTL,"Population, total",count,1984,56576718,"World Bank World Development Indicators, SP.POP.TOTL",2026-08-02
