iso3,country,indicator_code,indicator_name,unit,year,value,source,retrieved
NOR,Norway,SP.POP.TOTL,"Population, total",count,1960,3581239,"World Bank World Development Indicators, SP.POP.TOTL",2026-08-02
NOR,Norway,SP.POP.TOTL,"Population, total",count,1961,3609800,"World Bank World Development Indicators, SP.POP.TOTL",2026-08-02
NOR,Norway,SP.POP.TOTL,"Population, total",count,1962,3638918,"World Bank World Development Indicators, SP.POP.TOTL",2026-08-02
NOR,Norway,SP.POP.TOTL,"Population, total",count,1963,3666537,"World Bank World Development Indicators, SP.POP.TOTL",2026-08-02
NOR,Norway,SP.POP.TOTL,"Population, total",count,1964,3694339,"World Bank World Development Indicators, SP.POP.TOTL",2026-08-02
NOR,Norway,SP.POP.TOTL,"Population, total",count,1965,3723168,"World Bank World Development Indicators, SP.POP.TOTL",2026-08-02
NOR,Norway,SP.POP.TOTL,"Population, total",count,1966,3753012,"World Bank World Development Indicators, SP.POP.TOTL",2026-08-02
NOR,Norway,SP.POP.TOTL,"Population, total",count,1967,3784539,"World Bank World Development Indicators, SP.POP.TOTL",2026-08-02
NOR,Norway,SP.POP.TOTL,"Population, total",count,1968,3816486,"World Bank World Development Indicators, SP.POP.TOTL",2026-08-02
NOR,Norway,SP.POP.TOTL,"Population, total",count,1969,3847707,"World Bank World Development Indicators, SP.POP.TOTL",2026-08-02
NOR,Norway,SP.POP.TOTL,"Population, total",count,1970,3875763,"World Bank World Development Indicators, SP.POP.TOTL",2026-08-02
NOR,Norway,SP.POP.TOTL,"Population, total",count,1971,3903039,"World Bank World Development Indicators, SP.POP.TOTL",2026-08-02
NOR,Norway,SP.POP.TOTL,"Population, total",count,1972,3933004,"World Bank World Development Indicators, SP.POP.TOTL",2026-08-02
NOR,Norway,SP.POP.TOTL,"Population, total",count,1973,3960612,"World Bank World Development Indicators, SP.POP.TOTL",2026-08-02
NOR,Norway,SP.POP.TOTL,"Population, total",count,1974,3985258,"World Bank World Development Indicators, SP.POP.TOTL",2026-08-02
NOR,Norway,SP.POP.TOTL,"Population, total",count,1975,4007313,"World Bank World Development Indicators, SP.POP.TOTL",2026-08-02
NOR,Norway,SP.POP.TOTL,"Population, total",count,1976,4026152,"World Bank World Development Indicators, SP.POP.TOTL",2026-08-02
NOR,Norway,SP.POP.TOTL,"Population, total",count,1977,4043205,"World Bank World Development Indicators, SP.POP.TOTL",2026-08-02
NOR,Norway,SP.POP.TOTL,"Population, total",count,1978,4058671,"World Bank World Development Indicators, SP.POP.TOTL",2026-08-02
NOR,Norway,SP.POP.TOTL,"Population, total",count,1979,4072517,"World Bank World Development Indicators, SP.POP.TOTL",2026-08-02
NOR,Norway,SP.POP.TOTL,"Population, total",count,1980,4085620,"World Bank World Development Indicators, SP.POP.TOTL",2026-08-02
NOR,Norway,SP.POP.TOTL,"Population, total",count,1981,4099702,"World Bank World Development Indicators, SP.POP.TOTL",2026-08-02
NOR,Norway,SP.POP.TOTL,"Population, total",count,1982,4114787,"World Bank World Development Indicators, SP.POP.TOTL",2026-08-02
NOR,Norway,SP.POP.TOTL,"Population, total",count,1983,4128432,"World Bank World Development Indicators, SP.POP.TOTL",2026-08-02
NOR,Norway,SP.POP.TOTL,"Population, total",count,1984,4140099,"World Bank World Development Indicators, SP.POP.TOTL",2026-08-02
NOR,Norway,SP.POP.TOTL,"Population, total",count,1985,4152516,"World Bank World Development Indicators, SP.POP.TOTL",2026-08-02
NOR,Norway,SP.POP.TOTL,"Population, total",count,1986,4167354,"World Bank World Development Indicators, SP.POP.TOTL",2026-08-02
NOR,Norway,SP.POP.TOTL,"Population, total",count,1987,4186905,"World Bank World Development Indicators, SP.POP.TOTL",2026-08-02
NOR,Norway,SP.POP.TOTL,"Population, total",count,1988,4209488,"World Bank World Development Indicators, SP.POP.TOTL",2026-08-02
NOR,Norway,SP.POP.TOTL,"Population, total",count,1989,4226901,"World Bank World Development Indicators, SP.POP.TOTL",2026-08-02
NOR,Norway,SP.POP.TOTL,"Population, total",count,1990,4241473,"World Bank World Development Indicators, SP.POP.TOTL",2026-08-02
NOR,Norway,SP.POP.TOTL,"Population, total",count,1991,4261732,"World Bank World Development Indicators, SP.POP.TOTL",2026-08-02
NOR,Norway,SP.POP.TOTL,"Population, total",count,1992,4286401,"World Bank World Development Indicators, SP.POP.TOTL",2026-08-02
NOR,Norway,SP.POP.TOTL,"Population, total",count,1993,4311991,"World Bank World Development Indicators, SP.POP.TOTL",2026-08-02
NOR,Norway,SP.POP.TOTL,"Population, total",count,1994,4336613,"World Bank World Development Indicators, SP.POP.TOTL",2026-08-02
NOR,Norway,SP.POP.TOTL,"Population, total",count,1995,4359184,"World Bank World Development Indicators, SP.POP.TOTL",2026-08-02
NOR,Norway,SP.POP.TOTL,"Population, total",count,1996,4381336,"World Bank World Development Indicators, SP.POP.TOTL",2026-08-02
