iso3,year,partner,measure,value,unit,source,retrieved
AUT,2002,European Union,export share,71.2,% of total exports,"Eurostat, ext_lt_intratrd (Intra and Extra-EU trade by Member State and by product group), sitc06=TOTAL, partner=EU27_2020",2026-08-06
AUT,2003,European Union,export share,71.8,% of total exports,"Eurostat, ext_lt_intratrd (Intra and Extra-EU trade by Member State and by product group), sitc06=TOTAL, partner=EU27_2020",2026-08-06
AUT,2004,European Union,export share,70.6,% of total exports,"Eurostat, ext_lt_intratrd (Intra and Extra-EU trade by Member State and by product group), sitc06=TOTAL, partner=EU27_2020",2026-08-06
AUT,2005,European Union,export share,69.1,% of total exports,"Eurostat, ext_lt_intratrd (Intra and Extra-EU trade by Member State and by product group), sitc06=TOTAL, partner=EU27_2020",2026-08-06
AUT,2006,European Union,export share,69.4,% of total exports,"Eurostat, ext_lt_intratrd (Intra and Extra-EU trade by Member State and by product group), sitc06=TOTAL, partner=EU27_2020",2026-08-06
AUT,2007,European Union,export share,70.3,% of total exports,"Eurostat, ext_lt_intratrd (Intra and Extra-EU trade by Member State and by product group), sitc06=TOTAL, partner=EU27_2020",2026-08-06
AUT,2008,European Union,export share,70.3,% of total exports,"Eurostat, ext_lt_intratrd (Intra and Extra-EU trade by Member State and by product group), sitc06=TOTAL, partner=EU27_2020",2026-08-06
AUT,2009,European Union,export share,69.7,% of total exports,"Eurostat, ext_lt_intratrd (Intra and Extra-EU trade by Member State and by product group), sitc06=TOTAL, partner=EU27_2020",2026-08-06
AUT,2010,European Union,export share,69.2,% of total exports,"Eurostat, ext_lt_intratrd (Intra and Extra-EU trade by Member State and by product group), sitc06=TOTAL, partner=EU27_2020",2026-08-06
AUT,2011,European Union,export share,68.4,% of total exports,"Eurostat, ext_lt_intratrd (Intra and Extra-EU trade by Member State and by product group), sitc06=TOTAL, partner=EU27_2020",2026-08-06
AUT,2012,European Union,export share,67.3,% of total exports,"Eurostat, ext_lt_intratrd (Intra and Extra-EU trade by Member State and by product group), sitc06=TOTAL, partner=EU27_2020",2026-08-06
