iso3,country,indicator_code,indicator_name,unit,year,value,source,retrieved
AUT,Austria,EUROSTAT.EARN_NT_NET,"Annual net earnings, single person without children at 100% of average wage",EUR,2000,20525.86,Eurostat earn_nt_net,2026-08-02
AUT,Austria,EUROSTAT.EARN_NT_NET,"Annual net earnings, single person without children at 100% of average wage",EUR,2001,20773.99,Eurostat earn_nt_net,2026-08-02
AUT,Austria,EUROSTAT.EARN_NT_NET,"Annual net earnings, single person without children at 100% of average wage",EUR,2002,21179.51,Eurostat earn_nt_net,2026-08-02
AUT,Austria,EUROSTAT.EARN_NT_NET,"Annual net earnings, single person without children at 100% of average wage",EUR,2003,21956.82,Eurostat earn_nt_net,2026-08-02
AUT,Austria,EUROSTAT.EARN_NT_NET,"Annual net earnings, single person without children at 100% of average wage",EUR,2004,22004.46,Eurostat earn_nt_net,2026-08-02
AUT,Austria,EUROSTAT.EARN_NT_NET,"Annual net earnings, single person without children at 100% of average wage",EUR,2005,22783.76,Eurostat earn_nt_net,2026-08-02
AUT,Austria,EUROSTAT.EARN_NT_NET,"Annual net earnings, single person without children at 100% of average wage",EUR,2006,23391.46,Eurostat earn_nt_net,2026-08-02
AUT,Austria,EUROSTAT.EARN_NT_NET,"Annual net earnings, single person without children at 100% of average wage",EUR,2007,23970.23,Eurostat earn_nt_net,2026-08-02
AUT,Austria,EUROSTAT.EARN_NT_NET,"Annual net earnings, single person without children at 100% of average wage",EUR,2008,24492.09,Eurostat earn_nt_net,2026-08-02
AUT,Austria,EUROSTAT.EARN_NT_NET,"Annual net earnings, single person without children at 100% of average wage",EUR,2009,25427.88,Eurostat earn_nt_net,2026-08-02
AUT,Austria,EUROSTAT.EARN_NT_NET,"Annual net earnings, single person without children at 100% of average wage",EUR,2010,25770.16,Eurostat earn_nt_net,2026-08-02
AUT,Austria,EUROSTAT.EARN_NT_NET,"Annual net earnings, single person without children at 100% of average wage",EUR,2011,26375.67,Eurostat earn_nt_net,2026-08-02
AUT,Austria,EUROSTAT.EARN_NT_NET,"Annual net earnings, single person without children at 100% of average wage",EUR,2012,26893.06,Eurostat earn_nt_net,2026-08-02
AUT,Austria,EUROSTAT.EARN_NT_NET,"Annual net earnings, single person without children at 100% of average wage",EUR,2013,27520.54,Eurostat earn_nt_net,2026-08-02
AUT,Austria,EUROSTAT.EARN_NT_NET,"Annual net earnings, single person without children at 100% of average wage",EUR,2014,27965.34,Eurostat earn_nt_net,2026-08-02
AUT,Austria,EUROSTAT.EARN_NT_NET,"Annual net earnings, single person without children at 100% of average wage",EUR,2015,28524.14,Eurostat earn_nt_net,2026-08-02
AUT,Austria,EUROSTAT.EARN_NT_NET,"Annual net earnings, single person without children at 100% of average wage",EUR,2016,30601.53,Eurostat earn_nt_net,2026-08-02
AUT,Austria,EUROSTAT.EARN_NT_NET,"Annual net earnings, single person without children at 100% of average wage",EUR,2017,31083.14,Eurostat earn_nt_net,2026-08-02
AUT,Austria,EUROSTAT.EARN_NT_NET,"Annual net earnings, single person without children at 100% of average wage",EUR,2018,31640.93,Eurostat earn_nt_net,2026-08-02
AUT,Austria,EUROSTAT.EARN_NT_NET,"Annual net earnings, single person without children at 100% of average wage",EUR,2019,32325.12,Eurostat earn_nt_net,2026-08-02
AUT,Austria,EUROSTAT.EARN_NT_NET,"Annual net earnings, single person without children at 100% of average wage",EUR,2020,33032.37,Eurostat earn_nt_net,2026-08-02
AUT,Austria,EUROSTAT.EARN_NT_NET,"Annual net earnings, single person without children at 100% of average wage",EUR,2021,33712.20,Eurostat earn_nt_net,2026-08-02
AUT,Austria,EUROSTAT.EARN_NT_NET,"Annual net earnings, single person without children at 100% of average wage",EUR,2022,36075.61,Eurostat earn_nt_net,2026-08-02
AUT,Austria,EUROSTAT.EARN_NT_NET,"Annual net earnings, single person without children at 100% of average wage",EUR,2023,38375.91,Eurostat earn_nt_net,2026-08-02
AUT,Austria,EUROSTAT.EARN_NT_NET,"Annual net earnings, single person without children at 100% of average wage",EUR,2024,35823.61,Eurostat earn_nt_net,2026-08-02
AUT,Austria,EUROSTAT.EARN_NT_NET,"Annual net earnings, single person without children at 100% of average wage",EUR,2025,36797.90,Eurostat earn_nt_net,2026-08-02
BEL,Belgium,EUROSTAT.EARN_NT_NET,"Annual net earnings, single person without children at 100% of average wage",EUR,2000,18034.69,Eurostat earn_nt_net,2026-08-02
BEL,Belgium,EUROSTAT.EARN_NT_NET,"Annual net earnings, single person without children at 100% of average wage",EUR,2001,18884.08,Eurostat earn_nt_net,2026-08-02
BEL,Belgium,EUROSTAT.EARN_NT_NET,"Annual net earnings, single person without children at 100% of average wage",EUR,2002,19686.29,Eurostat earn_nt_net,2026-08-02
BEL,Belgium,EUROSTAT.EARN_NT_NET,"Annual net earnings, single person without children at 100% of average wage",EUR,2003,20097.88,Eurostat earn_nt_net,2026-08-02
BEL,Belgium,EUROSTAT.EARN_NT_NET,"Annual net earnings, single person without children at 100% of average wage",EUR,2004,20739.41,Eurostat earn_nt_net,2026-08-02
BEL,Belgium,EUROSTAT.EARN_NT_NET,"Annual net earnings, single person without children at 100% of average wage",EUR,2005,21273.34,Eurostat earn_nt_net,2026-08-02
BEL,Belgium,EUROSTAT.EARN_NT_NET,"Annual net earnings, single person without children at 100% of average wage",EUR,2006,21880.46,Eurostat earn_nt_net,2026-08-02
BEL,Belgium,EUROSTAT.EARN_NT_NET,"Annual net earnings, single person without children at 100% of average wage",EUR,2007,22396.96,Eurostat earn_nt_net,2026-08-02
BEL,Belgium,EUROSTAT.EARN_NT_NET,"Annual net earnings, single person without children at 100% of average wage",EUR,2008,23405.30,Eurostat earn_nt_net,2026-08-02
BEL,Belgium,EUROSTAT.EARN_NT_NET,"Annual net earnings, single person without children at 100% of average wage",EUR,2009,24323.59,Eurostat earn_nt_net,2026-08-02
BEL,Belgium,EUROSTAT.EARN_NT_NET,"Annual net earnings, single person without children at 100% of average wage",EUR,2010,24873.45,Eurostat earn_nt_net,2026-08-02
BEL,Belgium,EUROSTAT.EARN_NT_NET,"Annual net earnings, single person without children at 100% of average wage",EUR,2011,25519.86,Eurostat earn_nt_net,2026-08-02
BEL,Belgium,EUROSTAT.EARN_NT_NET,"Annual net earnings, single person without children at 100% of average wage",EUR,2012,26287.51,Eurostat earn_nt_net,2026-08-02
BEL,Belgium,EUROSTAT.EARN_NT_NET,"Annual net earnings, single person without children at 100% of average wage",EUR,2013,26609.37,Eurostat earn_nt_net,2026-08-02
