iso3,country,indicator_code,indicator_name,unit,year,value,source,retrieved
POL,Poland,WGI.CC.EST,Control of Corruption (WGI governance estimate),index,1996,0.8425298,"World Bank Worldwide Governance Indicators (API source 3), GOV_WGI_CC.EST",2026-08-02
POL,Poland,WGI.CC.EST,Control of Corruption (WGI governance estimate),index,1998,0.7501549,"World Bank Worldwide Governance Indicators (API source 3), GOV_WGI_CC.EST",2026-08-02
POL,Poland,WGI.CC.EST,Control of Corruption (WGI governance estimate),index,2000,0.4963041,"World Bank Worldwide Governance Indicators (API source 3), GOV_WGI_CC.EST",2026-08-02
POL,Poland,WGI.CC.EST,Control of Corruption (WGI governance estimate),index,2002,0.3442164,"World Bank Worldwide Governance Indicators (API source 3), GOV_WGI_CC.EST",2026-08-02
POL,Poland,WGI.CC.EST,Control of Corruption (WGI governance estimate),index,2003,0.3611585,"World Bank Worldwide Governance Indicators (API source 3), GOV_WGI_CC.EST",2026-08-02
POL,Poland,WGI.CC.EST,Control of Corruption (WGI governance estimate),index,2004,0.1126454,"World Bank Worldwide Governance Indicators (API source 3), GOV_WGI_CC.EST",2026-08-02
POL,Poland,WGI.CC.EST,Control of Corruption (WGI governance estimate),index,2005,0.2504764,"World Bank Worldwide Governance Indicators (API source 3), GOV_WGI_CC.EST",2026-08-02
POL,Poland,WGI.CC.EST,Control of Corruption (WGI governance estimate),index,2006,0.3249713,"World Bank Worldwide Governance Indicators (API source 3), GOV_WGI_CC.EST",2026-08-02
POL,Poland,WGI.CC.EST,Control of Corruption (WGI governance estimate),index,2007,0.3179195,"World Bank Worldwide Governance Indicators (API source 3), GOV_WGI_CC.EST",2026-08-02
POL,Poland,WGI.CC.EST,Control of Corruption (WGI governance estimate),index,2008,0.4272964,"World Bank Worldwide Governance Indicators (API source 3), GOV_WGI_CC.EST",2026-08-02
POL,Poland,WGI.CC.EST,Control of Corruption (WGI governance estimate),index,2009,0.5739409,"World Bank Worldwide Governance Indicators (API source 3), GOV_WGI_CC.EST",2026-08-02
POL,Poland,WGI.CC.EST,Control of Corruption (WGI governance estimate),index,2010,0.6391266,"World Bank Worldwide Governance Indicators (API source 3), GOV_WGI_CC.EST",2026-08-02
POL,Poland,WGI.CC.EST,Control of Corruption (WGI governance estimate),index,2011,0.7618911,"World Bank Worldwide Governance Indicators (API source 3), GOV_WGI_CC.EST",2026-08-02
