iso3,country,indicator_code,indicator_name,unit,year,value,source,retrieved
POL,Poland,WGI.RL.EST,Rule of Law (WGI governance estimate),index,1996,0.6571317,"World Bank Worldwide Governance Indicators (API source 3), GOV_WGI_RL.EST",2026-08-02
POL,Poland,WGI.RL.EST,Rule of Law (WGI governance estimate),index,1998,0.6778793,"World Bank Worldwide Governance Indicators (API source 3), GOV_WGI_RL.EST",2026-08-02
POL,Poland,WGI.RL.EST,Rule of Law (WGI governance estimate),index,2000,0.6504934,"World Bank Worldwide Governance Indicators (API source 3), GOV_WGI_RL.EST",2026-08-02
POL,Poland,WGI.RL.EST,Rule of Law (WGI governance estimate),index,2002,0.5469485,"World Bank Worldwide Governance Indicators (API source 3), GOV_WGI_RL.EST",2026-08-02
POL,Poland,WGI.RL.EST,Rule of Law (WGI governance estimate),index,2003,0.424154,"World Bank Worldwide Governance Indicators (API source 3), GOV_WGI_RL.EST",2026-08-02
POL,Poland,WGI.RL.EST,Rule of Law (WGI governance estimate),index,2004,0.2669522,"World Bank Worldwide Governance Indicators (API source 3), GOV_WGI_RL.EST",2026-08-02
POL,Poland,WGI.RL.EST,Rule of Law (WGI governance estimate),index,2005,0.569705,"World Bank Worldwide Governance Indicators (API source 3), GOV_WGI_RL.EST",2026-08-02
POL,Poland,WGI.RL.EST,Rule of Law (WGI governance estimate),index,2006,0.3491376,"World Bank Worldwide Governance Indicators (API source 3), GOV_WGI_RL.EST",2026-08-02
POL,Poland,WGI.RL.EST,Rule of Law (WGI governance estimate),index,2007,0.4732407,"World Bank Worldwide Governance Indicators (API source 3), GOV_WGI_RL.EST",2026-08-02
POL,Poland,WGI.RL.EST,Rule of Law (WGI governance estimate),index,2008,0.5518631,"World Bank Worldwide Governance Indicators (API source 3), GOV_WGI_RL.EST",2026-08-02
POL,Poland,WGI.RL.EST,Rule of Law (WGI governance estimate),index,2009,0.5364193,"World Bank Worldwide Governance Indicators (API source 3), GOV_WGI_RL.EST",2026-08-02
POL,Poland,WGI.RL.EST,Rule of Law (WGI governance estimate),index,2010,0.6458707,"World Bank Worldwide Governance Indicators (API source 3), GOV_WGI_RL.EST",2026-08-02
POL,Poland,WGI.RL.EST,Rule of Law (WGI governance estimate),index,2011,0.8414342,"World Bank Worldwide Governance Indicators (API source 3), GOV_WGI_RL.EST",2026-08-02
POL,Poland,WGI.RL.EST,Rule of Law (WGI governance estimate),index,2012,0.8705388,"World Bank Worldwide Governance Indicators (API source 3), GOV_WGI_RL.EST",2026-08-02
POL,Poland,WGI.RL.EST,Rule of Law (WGI governance estimate),index,2013,0.8221108,"World Bank Worldwide Governance Indicators (API source 3), GOV_WGI_RL.EST",2026-08-02
POL,Poland,WGI.RL.EST,Rule of Law (WGI governance estimate),index,2014,0.8809895,"World Bank Worldwide Governance Indicators (API source 3), GOV_WGI_RL.EST",2026-08-02
POL,Poland,WGI.RL.EST,Rule of Law (WGI governance estimate),index,2015,0.8357984,"World Bank Worldwide Governance Indicators (API source 3), GOV_WGI_RL.EST",2026-08-02
POL,Poland,WGI.RL.EST,Rule of Law (WGI governance estimate),index,2016,0.7545596,"World Bank Worldwide Governance Indicators (API source 3), GOV_WGI_RL.EST",2026-08-02
POL,Poland,WGI.RL.EST,Rule of Law (WGI governance estimate),index,2017,0.6191174,"World Bank Worldwide Governance Indicators (API source 3), GOV_WGI_RL.EST",2026-08-02
POL,Poland,WGI.RL.EST,Rule of Law (WGI governance estimate),index,2018,0.5473425,"World Bank Worldwide Governance Indicators (API source 3), GOV_WGI_RL.EST",2026-08-02
POL,Poland,WGI.RL.EST,Rule of Law (WGI governance estimate),index,2019,0.5263759,"World Bank Worldwide Governance Indicators (API source 3), GOV_WGI_RL.EST",2026-08-02
POL,Poland,WGI.RL.EST,Rule of Law (WGI governance estimate),index,2020,0.460073,"World Bank Worldwide Governance Indicators (API source 3), GOV_WGI_RL.EST",2026-08-02
POL,Poland,WGI.RL.EST,Rule of Law (WGI governance estimate),index,2021,0.4098572,"World Bank Worldwide Governance Indicators (API source 3), GOV_WGI_RL.EST",2026-08-02
POL,Poland,WGI.RL.EST,Rule of Law (WGI governance estimate),index,2022,0.3545463,"World Bank Worldwide Governance Indicators (API source 3), GOV_WGI_RL.EST",2026-08-02
POL,Poland,WGI.RL.EST,Rule of Law (WGI governance estimate),index,2023,0.3564347,"World Bank Worldwide Governance Indicators (API source 3), GOV_WGI_RL.EST",2026-08-02
POL,Poland,WGI.RL.EST,Rule of Law (WGI governance estimate),index,2024,0.5769112,"World Bank Worldwide Governance Indicators (API source 3), GOV_WGI_RL.EST",2026-08-02
AUT,Austria,WGI.RL.EST,Rule of Law (WGI governance estimate),index,1996,1.8410601,"World Bank Worldwide Governance Indicators (API source 3), GOV_WGI_RL.EST",2026-08-02
AUT,Austria,WGI.RL.EST,Rule of Law (WGI governance estimate),index,1998,1.8028917,"World Bank Worldwide Governance Indicators (API source 3), GOV_WGI_RL.EST",2026-08-02
AUT,Austria,WGI.RL.EST,Rule of Law (WGI governance estimate),index,2000,1.8998688,"World Bank Worldwide Governance Indicators (API source 3), GOV_WGI_RL.EST",2026-08-02
AUT,Austria,WGI.RL.EST,Rule of Law (WGI governance estimate),index,2002,1.9114511,"World Bank Worldwide Governance Indicators (API source 3), GOV_WGI_RL.EST",2026-08-02
AUT,Austria,WGI.RL.EST,Rule of Law (WGI governance estimate),index,2003,1.8656484,"World Bank Worldwide Governance Indicators (API source 3), GOV_WGI_RL.EST",2026-08-02
AUT,Austria,WGI.RL.EST,Rule of Law (WGI governance estimate),index,2004,1.8118478,"World Bank Worldwide Governance Indicators (API source 3), GOV_WGI_RL.EST",2026-08-02
