iso3,country,indicator_code,indicator_name,unit,year,value,source,retrieved
POL,Poland,WGI.VA.EST,Voice and Accountability (WGI governance estimate),index,1996,1.1094023,"World Bank Worldwide Governance Indicators (API source 3), GOV_WGI_VA.EST",2026-08-02
POL,Poland,WGI.VA.EST,Voice and Accountability (WGI governance estimate),index,1998,1.2118042,"World Bank Worldwide Governance Indicators (API source 3), GOV_WGI_VA.EST",2026-08-02
POL,Poland,WGI.VA.EST,Voice and Accountability (WGI governance estimate),index,2000,1.2131671,"World Bank Worldwide Governance Indicators (API source 3), GOV_WGI_VA.EST",2026-08-02
POL,Poland,WGI.VA.EST,Voice and Accountability (WGI governance estimate),index,2002,0.9755154,"World Bank Worldwide Governance Indicators (API source 3), GOV_WGI_VA.EST",2026-08-02
POL,Poland,WGI.VA.EST,Voice and Accountability (WGI governance estimate),index,2003,0.9809925,"World Bank Worldwide Governance Indicators (API source 3), GOV_WGI_VA.EST",2026-08-02
POL,Poland,WGI.VA.EST,Voice and Accountability (WGI governance estimate),index,2004,0.8737767,"World Bank Worldwide Governance Indicators (API source 3), GOV_WGI_VA.EST",2026-08-02
POL,Poland,WGI.VA.EST,Voice and Accountability (WGI governance estimate),index,2005,1.0285355,"World Bank Worldwide Governance Indicators (API source 3), GOV_WGI_VA.EST",2026-08-02
POL,Poland,WGI.VA.EST,Voice and Accountability (WGI governance estimate),index,2006,0.9360213,"World Bank Worldwide Governance Indicators (API source 3), GOV_WGI_VA.EST",2026-08-02
POL,Poland,WGI.VA.EST,Voice and Accountability (WGI governance estimate),index,2007,0.9393901,"World Bank Worldwide Governance Indicators (API source 3), GOV_WGI_VA.EST",2026-08-02
POL,Poland,WGI.VA.EST,Voice and Accountability (WGI governance estimate),index,2008,1.0720367,"World Bank Worldwide Governance Indicators (API source 3), GOV_WGI_VA.EST",2026-08-02
POL,Poland,WGI.VA.EST,Voice and Accountability (WGI governance estimate),index,2009,1.064793,"World Bank Worldwide Governance Indicators (API source 3), GOV_WGI_VA.EST",2026-08-02
POL,Poland,WGI.VA.EST,Voice and Accountability (WGI governance estimate),index,2010,1.1169909,"World Bank Worldwide Governance Indicators (API source 3), GOV_WGI_VA.EST",2026-08-02
POL,Poland,WGI.VA.EST,Voice and Accountability (WGI governance estimate),index,2011,1.0662057,"World Bank Worldwide Governance Indicators (API source 3), GOV_WGI_VA.EST",2026-08-02
POL,Poland,WGI.VA.EST,Voice and Accountability (WGI governance estimate),index,2012,1.1085187,"World Bank Worldwide Governance Indicators (API source 3), GOV_WGI_VA.EST",2026-08-02
POL,Poland,WGI.VA.EST,Voice and Accountability (WGI governance estimate),index,2013,0.9472071,"World Bank Worldwide Governance Indicators (API source 3), GOV_WGI_VA.EST",2026-08-02
POL,Poland,WGI.VA.EST,Voice and Accountability (WGI governance estimate),index,2014,1.0672929,"World Bank Worldwide Governance Indicators (API source 3), GOV_WGI_VA.EST",2026-08-02
POL,Poland,WGI.VA.EST,Voice and Accountability (WGI governance estimate),index,2015,0.9924822,"World Bank Worldwide Governance Indicators (API source 3), GOV_WGI_VA.EST",2026-08-02
POL,Poland,WGI.VA.EST,Voice and Accountability (WGI governance estimate),index,2016,0.8683932,"World Bank Worldwide Governance Indicators (API source 3), GOV_WGI_VA.EST",2026-08-02
POL,Poland,WGI.VA.EST,Voice and Accountability (WGI governance estimate),index,2017,0.6803648,"World Bank Worldwide Governance Indicators (API source 3), GOV_WGI_VA.EST",2026-08-02
POL,Poland,WGI.VA.EST,Voice and Accountability (WGI governance estimate),index,2018,0.5419408,"World Bank Worldwide Governance Indicators (API source 3), GOV_WGI_VA.EST",2026-08-02
POL,Poland,WGI.VA.EST,Voice and Accountability (WGI governance estimate),index,2019,0.5057092,"World Bank Worldwide Governance Indicators (API source 3), GOV_WGI_VA.EST",2026-08-02
POL,Poland,WGI.VA.EST,Voice and Accountability (WGI governance estimate),index,2020,0.4872989,"World Bank Worldwide Governance Indicators (API source 3), GOV_WGI_VA.EST",2026-08-02
POL,Poland,WGI.VA.EST,Voice and Accountability (WGI governance estimate),index,2021,0.369436,"World Bank Worldwide Governance Indicators (API source 3), GOV_WGI_VA.EST",2026-08-02
POL,Poland,WGI.VA.EST,Voice and Accountability (WGI governance estimate),index,2022,0.375328,"World Bank Worldwide Governance Indicators (API source 3), GOV_WGI_VA.EST",2026-08-02
POL,Poland,WGI.VA.EST,Voice and Accountability (WGI governance estimate),index,2023,0.4100224,"World Bank Worldwide Governance Indicators (API source 3), GOV_WGI_VA.EST",2026-08-02
POL,Poland,WGI.VA.EST,Voice and Accountability (WGI governance estimate),index,2024,0.7521675,"World Bank Worldwide Governance Indicators (API source 3), GOV_WGI_VA.EST",2026-08-02
NOR,Norway,WGI.VA.EST,Voice and Accountability (WGI governance estimate),index,1996,1.6676879,"World Bank Worldwide Governance Indicators (API source 3), GOV_WGI_VA.EST",2026-08-02
NOR,Norway,WGI.VA.EST,Voice and Accountability (WGI governance estimate),index,1998,1.6552672,"World Bank Worldwide Governance Indicators (API source 3), GOV_WGI_VA.EST",2026-08-02
