iso3,country,indicator_code,indicator_name,unit,year,value,source,retrieved
ITA,Italy,WGI.VA.EST,Voice and Accountability (WGI governance estimate),index,1996,0.998711,"World Bank Worldwide Governance Indicators (API source 3), GOV_WGI_VA.EST",2026-08-02
ITA,Italy,WGI.VA.EST,Voice and Accountability (WGI governance estimate),index,1998,0.9757256,"World Bank Worldwide Governance Indicators (API source 3), GOV_WGI_VA.EST",2026-08-02
ITA,Italy,WGI.VA.EST,Voice and Accountability (WGI governance estimate),index,2000,0.9369108,"World Bank Worldwide Governance Indicators (API source 3), GOV_WGI_VA.EST",2026-08-02
ITA,Italy,WGI.VA.EST,Voice and Accountability (WGI governance estimate),index,2002,0.9632897,"World Bank Worldwide Governance Indicators (API source 3), GOV_WGI_VA.EST",2026-08-02
ITA,Italy,WGI.VA.EST,Voice and Accountability (WGI governance estimate),index,2003,0.9386113,"World Bank Worldwide Governance Indicators (API source 3), GOV_WGI_VA.EST",2026-08-02
ITA,Italy,WGI.VA.EST,Voice and Accountability (WGI governance estimate),index,2004,0.9515154,"World Bank Worldwide Governance Indicators (API source 3), GOV_WGI_VA.EST",2026-08-02
ITA,Italy,WGI.VA.EST,Voice and Accountability (WGI governance estimate),index,2005,1.0077536,"World Bank Worldwide Governance Indicators (API source 3), GOV_WGI_VA.EST",2026-08-02
ITA,Italy,WGI.VA.EST,Voice and Accountability (WGI governance estimate),index,2006,1.1904231,"World Bank Worldwide Governance Indicators (API source 3), GOV_WGI_VA.EST",2026-08-02
ITA,Italy,WGI.VA.EST,Voice and Accountability (WGI governance estimate),index,2007,1.2209287,"World Bank Worldwide Governance Indicators (API source 3), GOV_WGI_VA.EST",2026-08-02
ITA,Italy,WGI.VA.EST,Voice and Accountability (WGI governance estimate),index,2008,1.15397,"World Bank Worldwide Governance Indicators (API source 3), GOV_WGI_VA.EST",2026-08-02
ITA,Italy,WGI.VA.EST,Voice and Accountability (WGI governance estimate),index,2009,1.1394476,"World Bank Worldwide Governance Indicators (API source 3), GOV_WGI_VA.EST",2026-08-02
ITA,Italy,WGI.VA.EST,Voice and Accountability (WGI governance estimate),index,2010,1.0280408,"World Bank Worldwide Governance Indicators (API source 3), GOV_WGI_VA.EST",2026-08-02
ITA,Italy,WGI.VA.EST,Voice and Accountability (WGI governance estimate),index,2011,0.8456621,"World Bank Worldwide Governance Indicators (API source 3), GOV_WGI_VA.EST",2026-08-02
ITA,Italy,WGI.VA.EST,Voice and Accountability (WGI governance estimate),index,2012,0.8871353,"World Bank Worldwide Governance Indicators (API source 3), GOV_WGI_VA.EST",2026-08-02
ITA,Italy,WGI.VA.EST,Voice and Accountability (WGI governance estimate),index,2013,0.9061148,"World Bank Worldwide Governance Indicators (API source 3), GOV_WGI_VA.EST",2026-08-02
ITA,Italy,WGI.VA.EST,Voice and Accountability (WGI governance estimate),index,2014,0.975257,"World Bank Worldwide Governance Indicators (API source 3), GOV_WGI_VA.EST",2026-08-02
ITA,Italy,WGI.VA.EST,Voice and Accountability (WGI governance estimate),index,2015,1.0210974,"World Bank Worldwide Governance Indicators (API source 3), GOV_WGI_VA.EST",2026-08-02
